"country","year","disease_name","disease_category","prevalence_rate","incidence_rate","mortality_rate","age_group","gender","population_affected","healthcare_access","doctors_per_1000","hospital_beds_per_1000","treatment_type","average_treatment_cost_usd","availability_of_vaccines_treatment","recovery_rate","dal_ys","improvement_in_5_years","per_capita_income_usd","education_index","urbanization_rate"
"Russia",2020,"Rabies","Viral",4.5,12.21,3.6,"Young Adult","Male",882065,73.12,2.86,3.14,"Therapy",39796,"Yes",78.43,3388,7.18,47903,0.56,24.07
"Argentina",2021,"Tuberculosis","Bacterial",18.87,9.69,8.45,"Adult","Male",540085,97.86,2.46,1.95,"Therapy",24408,"Yes",50.89,1990,6.47,46989,0.69,53.47
"South Africa",2023,"Cholera","Parasitic",7.3,6.74,7.04,"Young Adult","Female",978119,69.7,1.35,8.62,"Therapy",27495,"Yes",60.42,3397,9.93,28271,0.63,53.23
"India",2022,"Ebola","Cardiovascular",17.69,1.02,2.37,"Child","Female",368112,50.91,3.33,4.88,"Vaccination",39321,"No",57.53,3471,2.21,62144,0.55,53.25
"Russia",2020,"HIV/AIDS","Chronic",9.07,2.29,9.57,"Senior","Female",482083,76.04,2.33,6.34,"Vaccination",7173,"Yes",78.5,57,5.84,18114,0.82,53.1795081967213
"Canada",2020,"Influenza","Neurological",3.28,1.58,1.71,"Child","Female",126693,87.82,1.21,5.24,"Vaccination",17069,"No",70.2,3338,2.98,15745,0.72,80.75
"Italy",2023,"HIV/AIDS","Viral",2.24,14.31,3.66,"Young Adult","Other",167467,99.75,3.61,2.56,"Medication",1684,"No",81.54,4385,4.79,83436,0.55,87.66
"Canada",2020,"Alzheimer's Disease","Bacterial",5.27,1.8,6.82,"Young Adult","Other",33877,93.83,4.35,4.3,"Medication",23740,"Yes",51.19,301,0.88,41714,0.47,56.6262745098039
"Australia",2022,"Tuberculosis","Infectious",19.2,1.51,7.47,"Senior","Other",948027,84.47,3.99,8.86,"Surgery",26005,"Yes",56.08,2895,3.41,93660,0.69,58.0013793103448
"USA",2023,"Malaria","Neurological",0.48,7.27,8.84,"Child","Female",774389,58.56,3.34,6.73,"Therapy",28429.2,"No",66.54,1765,6.02,13306,0.45,46.48
"South Korea",2020,"Cancer","Respiratory",16.91,1.83,3.81,"Young Adult","Male",731253,75.99,0.92,3.27,"Vaccination",43759,"Yes",89.17,4544,3.93,78853,0.85,59.89
"South Korea",2023,"Diabetes","Chronic",12.74,13.47,5.81,"Young Adult","Male",179551,73.49,2.82,5.73,"Medication",20676,"Yes",78.42,1760,2.16,77527,0.76,27.6
"Nigeria",2023,"Cholera","Metabolic",17.55,1.02,9.87,"Senior","Female",148426,66.21,3.82,2.87,"Vaccination",6305,"No",57.53,3226,0.7,42521,0.7,77.67
"Japan",2021,"Measles","Infectious",5.32,6.41,8.1,"Adult","Other",378807,56.33,3.72,5.36,"Surgery",13344,"No",53.17,3769,0.09,89283,0.85,83.23
"Argentina",2023,"Cholera","Metabolic",16.73,5.37,9.94,"Senior","Other",505505,86.11,2.77063829787234,5.21,"Therapy",41464,"No",78.05,3019,8.24,99271,0.73,25.1
"South Africa",2020,"Ebola","Parasitic",19.92,11.16,4.59,"Young Adult","Male",166975,64.98,0.9,7.34,"Medication",12221,"No",90.47,1716,4.29,78606,0.83,54.68
"France",2022,"Ebola","Chronic",10.91,2.12,4.73,"Adult","Male",905051,81.32,4.25,7.9,"Therapy",41507,"No",85.8,3776,5.62,11052,0.64,86.86
"South Korea",2020,"Cholera","Genetic",6.98,1.52,6.46,"Adult","Male",125470,95.87,3.15,7.35,"Medication",17954,"No",77.5,4873,5.86,55811,0.76,58.89
"China",2022,"Zika","Metabolic",0.16,0.22,6.31,"Senior","Female",720180,97.5,4.74,5.52,"Medication",40024,"Yes",68.86,4861,7.36,79897,0.79,58.42
"Russia",2023,"Ebola","Cardiovascular",12.63,8.26,3.28,"Adult","Other",316069,82.63,4.31,8.64,"Medication",21193,"No",55.39,4095,9.05,96994,0.76,21.03
"India",2021,"Ebola","Chronic",10.9,13.72,8.23,"Young Adult","Male",294496,98.24,2.65,8.47,"Surgery",23887,"No",51.7,569,5.91,4936,0.45,83.09
"Argentina",2020,"Hepatitis","Autoimmune",5.51,14.77,3.57,"Young Adult","Male",621417,52.67,3.83,8.42,"Surgery",48450,"No",73.01,1587,2.03,32960,0.51,68.31
"India",2020,"Polio","Cardiovascular",10.49,4.22,6.27,"Child","Other",334389,77.34,3.29,3.97,"Vaccination",43775,"Yes",77.87,4134,0.17,73017,0.63,40.16
"India",2024,"Measles","Chronic",10.41,1.43,9.99,"Child","Male",183723,81.79,4.61,8.46,"Medication",20270,"No",95.87,4801,5.73,75676,0.7,56.19
"France",2021,"Asthma","Chronic",7.71,4.96,4.67,"Senior","Female",667390,76.18,0.6,6.38,"Vaccination",47446,"Yes",96.32,3617,2.15,4006,0.5,21.97
"Italy",2024,"Zika","Metabolic",5.07,9.83,5.75,"Adult","Other",788867,91.01,4.07,5.27,"Vaccination",29145,"Yes",86.23,481,6.37,4038,0.72,32.36
"UK",2021,"Diabetes","Infectious",4.67,1.88,4.76,"Senior","Female",922991,97.62,1.6,5.39,"Vaccination",36434,"No",56.3,2809,2.61,58488,0.63,81.92
"UK",2024,"Alzheimer's Disease","Neurological",11.09,8.34,4.3,"Adult","Male",160779,60.56,3.93,6.57,"Surgery",251267.0368,"No",77.74,2973,0.77,95759,0.8,86.44
"Brazil",2024,"Cholera","Neurological",2.88,2.5,1.27,"Adult","Female",293690,79.96,3.38,1.1,"Medication",23594,"No",72.6,4690,7.64,84999,0.85,49.95
"South Korea",2023,"Rabies","Genetic",5.54,0.45,6.36,"Senior","Other",610476,71.89,2.72,6.28,"Vaccination",9221,"No",80.35,94,2.41,71052,0.89,83.9
"Turkey",2023,"Tuberculosis","Bacterial",14.44,14.23,0.78,"Child","Male",799046,94.75,2.9,6.94,"Vaccination",29029,"No",79.88,4851,2.23,1457,0.57,51.48
"South Korea",2021,"Hypertension","Metabolic",0.97,12.1,5.46,"Young Adult","Other",967451,53.67,4.88,4.94,"Medication",37520,"Yes",57.75,4422,7.72,978,0.83,54.0446875
"Canada",2020,"Zika","Infectious",13.71,8.63,5.48,"Senior","Other",736303,77.35,0.82,4.34,"Therapy",26140,"No",54.81,3906,8.88,20833,0.51,24.71
"Mexico",2023,"Malaria","Neurological",10.52,5.28,2.71,"Adult","Other",45749,89.22,4.21,6.47,"Therapy",49232,"No",69.52,801,2.41,60329,0.68,61.33
"Russia",2022,"HIV/AIDS","Chronic",19.85,13.39,6.3,"Adult","Male",73295,60.04,1.27,1.38,"Surgery",47682,"No",89.23,4523,4.25,8658,0.53,58.66
"UK",2024,"Alzheimer's Disease","Cardiovascular",8.84,14.55,1.24,"Child","Other",198203,84.33,1.68,2.96,"Vaccination",27082,"No",62.23,58,9.82,21604,0.65,20.33
"Brazil",2020,"COVID-19","Chronic",6.94,0.18,7.55,"Child","Male",720222,89.52,3.82,5.68327868852459,"Medication",2723,"Yes",94.25,3236,9.56,14681,0.65,43.39
"South Africa",2023,"Hypertension","Neurological",3.31,8.22,8.25,"Young Adult","Other",79977,94.87,3.37,6.86,"Vaccination",2237,"Yes",74.89,4564,0.55,1196,0.53,26.25
"South Korea",2022,"Cholera","Autoimmune",18.19,12.22,1.52,"Adult","Male",514940,82.49,4.85,9.69,"Surgery",39778,"Yes",90.61,3722,9.09,23036,0.52,66.65
"Mexico",2022,"Malaria","Genetic",4.79,2.04,9.8,"Young Adult","Male",466133,93.19,0.92,2.79,"Medication",24081,"Yes",58.09,915,6.03,97594,0.85,57.81
"India",2022,"Dengue","Cardiovascular",7.65,2.43,5.38,"Young Adult","Male",306481,70.54,3.04,4.03,"Vaccination",874,"No",82.22,1246,8.7,41132,0.51,34.08
"India",2024,"HIV/AIDS","Neurological",18.07,0.76,4.59,"Child","Other",957036,69.35,3.41,4.62478260869565,"Medication",48008,"No",56.6,2770,4.68,53436,0.59,74.42
"Germany",2022,"Polio","Bacterial",17.89,5.7,2.33,"Adult","Male",808280,73.33,4.38,3.75,"Surgery",38278,"Yes",67.11,2768,9.92,79227,0.5,64.17
"UK",2021,"HIV/AIDS","Infectious",7.62,9.69,2.48,"Senior","Other",814950,52.71,3.23,5.39,"Vaccination",23094,"No",68.15,2529,0.15,43471,0.68,55.21
"Germany",2023,"Dengue","Chronic",17.55,0.54,7.28,"Adult","Male",468342,99.91,4.19,1.14,"Therapy",47835,"No",72.61,508,8.52,72663,0.6,42.3
"Canada",2022,"Influenza","Chronic",0.15,4.64,5.27,"Adult","Female",534057,72.74,2.93,1.63,"Surgery",23158,"Yes",72.03,2870,3.03,66138,0.63,88.11
"UK",2023,"Cholera","Viral",4.27,7.3,6.14,"Senior","Female",505303,80.42,1.85,3.35,"Surgery",5402,"Yes",70.06,3181,1.16,34301,0.88,52.65
"Germany",2022,"Dengue","Viral",17.55,12.34,6.08,"Senior","Male",850914,55.03,0.89,8.38,"Therapy",48888,"No",79.19,1906,6.36,28456,0.78,66.29
"UK",2020,"Zika","Autoimmune",9.63,2.41,0.61,"Adult","Male",709020,50.4,1.27,1.25,"Vaccination",1368,"No",81.1,4483,4.6,57876,0.88,75.24
"France",2021,"Rabies","Parasitic",14.8,9.76,1.1,"Senior","Other",613837,76.46,3.09,0.53,"Surgery",20990,"Yes",56.84,329,3.47,39075,0.41,53.73
"Indonesia",2022,"Influenza","Neurological",7.82,1.86,9.54,"Young Adult","Female",809559,64.64,1.35,4.14,"Medication",47109,"Yes",66.3,977,2.81,67779,0.59,54.55
"Australia",2022,"Parkinson's Disease","Respiratory",16.52,8.67,3.47,"Senior","Other",335030,57.77,4.81,7.33,"Vaccination",40347,"Yes",97.02,2458,9.29,77293,0.55,78.83
"Russia",2024,"Malaria","Bacterial",13.57,11.6,1.74,"Young Adult","Other",708232,84.6,4.38,2.44,"Vaccination",28318,"No",89.99,2798,0.9,7666,0.64,36.33
"South Africa",2023,"Zika","Viral",11.49,7.85,1.24,"Child","Other",625039,53.13,3.42,7.99,"Vaccination",16960,"Yes",94.86,150,2.44,65224,0.73,66.23
"Russia",2024,"Diabetes","Viral",4.33,9.73,5.07,"Senior","Female",630417,79.67,2.5,7.82,"Therapy",36373,"Yes",54.7,4929,2.75,44106,0.87,49.63
"France",2021,"COVID-19","Infectious",16.42,6.34,8.99,"Child","Male",914963,88.05,1.33,7.96,"Vaccination",31028,"Yes",90.78,2395,2.28,49294,0.54,26.56
"France",2023,"Leprosy","Metabolic",16.12,11.99,5.85,"Child","Male",988282,97.85,1.59,9.66,"Surgery",46005,"No",97.41,2736,2.17,15225,0.47,87.02
"Australia",2023,"Alzheimer's Disease","Chronic",10.69,3.95,7.04,"Senior","Female",459672,85.51,3.71,8.41,"Vaccination",37578,"No",86.62,2948,3.92,37379,0.4,52.99
"Japan",2023,"Ebola","Metabolic",12.63,6.45,6.96,"Young Adult","Other",749475,90.48,3.27,9.05,"Vaccination",20409,"Yes",54.82,4010,8.18,22086,0.9,65.75
"UK",2020,"Influenza","Bacterial",3.4,10.37,3.33,"Child","Other",818286,88.86,4.11,5.99,"Therapy",25495,"Yes",84.13,1358,4.92,42252,0.64,45.13
"France",2023,"Alzheimer's Disease","Neurological",4.56,11.72,1.14,"Senior","Female",165652,91.96,3.19,4.7,"Surgery",20592,"No",82.86,190,2.79,27527,0.44,74.5
"Germany",2021,"Tuberculosis","Chronic",16.31,9.62,8.78,"Child","Female",971438,72.96,3.67,8.98,"Medication",936,"No",78.86,2223,9.01,13884,0.83,56.36
"Argentina",2022,"Asthma","Chronic",15.93,3.83,2.27,"Adult","Female",177025,82.17,1.62,7.15,"Therapy",48598,"No",58.55,3247,6.12,44616,0.75,47.61
"Japan",2023,"Alzheimer's Disease","Genetic",1.85,3.64,3.78,"Senior","Other",204760,53.17,1.84,1.22,"Therapy",7563,"No",91.56,4195,9.93,25981,0.45,82.93
"China",2021,"Malaria","Parasitic",12.38,6.23,3.845,"Senior","Male",820605,93.56,4.25,3.91,"Medication",18302,"Yes",89.05,3510,0.55,10724,0.76,70.92
"Mexico",2022,"Zika","Genetic",4.06,4.95,0.48,"Senior","Male",640570,86.32,1.45,9.28,"Therapy",45778,"Yes",51.89,2512,5.27,97397,0.49,33.57
"Nigeria",2022,"Ebola","Cardiovascular",10.81,10.91,1.01,"Young Adult","Male",719952,60.26,1.06,5.46,"Therapy",142,"Yes",67.45,1095,4.15,20989,0.71,51.38
"France",2024,"Alzheimer's Disease","Respiratory",19.36,10.75,0.8,"Child","Female",98939,63.19,0.76,0.94,"Surgery",21130,"Yes",78.8,3451,3.49,47999,0.64,88.25
"Canada",2020,"Tuberculosis","Metabolic",0.2,0.5,4.31,"Adult","Other",387289,92.59,4.88,8.19,"Therapy",16326,"Yes",88.06,3542,7.64,6714,0.66,49.67
"Argentina",2022,"Cancer","Parasitic",13.79,1.37,6.07,"Child","Other",328021,53.93,4.73,4.53,"Therapy",23788,"No",80.88,1876,1.77,25779,0.63,57.68
"India",2022,"Parkinson's Disease","Metabolic",12.45,0.15,5.19,"Child","Male",188953,58.2,1.19,7.67,"Medication",44580,"No",89.02,3694,2.01,40424,0.46,20.38
"Canada",2023,"Cholera","Bacterial",1.21,14.87,6.22,"Child","Male",523409,82.77,2.37,1.85,"Surgery",47659,"No",61.44,4580,9.89,66819,0.58,28.11
"Turkey",2022,"Hypertension","Genetic",13.47,9.28,1.16,"Adult","Other",976885,58.38,3.61,5.84,"Surgery",41757,"Yes",54.3,3658,6.16,27978,0.78,83.34
"Saudi Arabia",2023,"Asthma","Genetic",11.5,11.26,2.8,"Young Adult","Male",534730,56.95,4.99,8.99,"Surgery",23467,"Yes",58.87,2991,1.67,41743,0.72,21.6
"Italy",2020,"Malaria","Parasitic",9.25,7.4,3.32,"Senior","Female",95953,74.17,0.69,4.33,"Vaccination",36720,"Yes",60.49,1643,1.03,34879,0.44,31.15
"Germany",2020,"Hepatitis","Chronic",9.995,9.61,3.96,"Child","Male",19353,61.31,4.45,3.36,"Therapy",38262.8,"No",92.92,1175,0.35,61103,0.48,34.95
"South Korea",2023,"COVID-19","Cardiovascular",4.58,2.49,5.05,"Young Adult","Male",750783,96.54,2.26,3.49,"Medication",852,"No",70.73,1530,0.34,78562,0.66,56.34
"South Africa",2024,"Dengue","Neurological",4.63,8.85,4.41,"Adult","Other",969276,80.4,2.61984126984127,5.16,"Surgery",25241,"No",53.72,520,1.3,2106,0.6,58.97
"Russia",2023,"Polio","Chronic",4.98,0.26,3.79,"Child","Male",860008,67.78,2.56,5.57,"Vaccination",30211.75,"No",65.05,741,6.9,6113,0.42,27.93
"China",2021,"Asthma","Bacterial",14.82,8.72,8.07,"Young Adult","Female",264759,87.73,1.52,0.61,"Medication",34428,"No",52.37,4298,1.39,600,0.46,25.49
"Japan",2023,"Hepatitis","Genetic",14.51,0.14,3.21,"Adult","Male",888576,83.79,2.28,3.91,"Medication",49850,"No",53.47,668,0.31,99220,0.64,37.67
"Nigeria",2022,"Malaria","Cardiovascular",5.49,7.08,7.66,"Child","Female",340396,72.76,3.5,9.2,"Medication",13952,"Yes",59.62,1310,0.62,36683,0.74,75.91
"Argentina",2020,"Influenza","Autoimmune",9.8,14.68,2.17,"Young Adult","Male",18701,59.36,4.83,9.11,"Therapy",3704,"No",91.58,4271,0.26,33936,0.7,70.36
"Germany",2021,"Polio","Bacterial",8.285,12.48,5.45,"Adult","Male",189777,93.66,4.09,3.52,"Vaccination",27083,"No",90.48,4185,1.32,98334,0.67,45.95
"South Korea",2023,"Asthma","Genetic",0.7,2.05,9.13,"Senior","Female",901930,92.06,3.67,5.93966666666667,"Surgery",46497,"Yes",56.57,2037,7.21,19624,0.77,88.41
"Mexico",2021,"Dengue","Respiratory",4.66,1.91,2.6,"Adult","Female",98385,99.72,1.43,9.6,"Medication",38493,"No",73.7,661,6.18,38898,0.49,74.56
"Russia",2024,"Hepatitis","Metabolic",16.62,3.33,7.54,"Young Adult","Male",470253,65.97,4.63,5.63318181818182,"Surgery",33287,"Yes",68.84,3013,9.48,23173,0.48,64.45
"China",2021,"Zika","Metabolic",8.76,10.64,8.75,"Senior","Male",879086,77.59,3.56,6.67,"Surgery",15903,"No",79.55,4069,1.6,81742,0.64,71.36
"Turkey",2022,"Hypertension","Infectious",14.41,8.76,5.63,"Child","Female",423302,97.76,2.63,8.88,"Vaccination",25040,"Yes",78.65,534,7.61,66843,0.46,57.14
"Russia",2023,"Dengue","Genetic",12.8,4.89,6.76,"Child","Male",813476,55.05,0.58,8.26,"Surgery",33435,"Yes",50.79,469,3.91,35460,0.43,45.46
"UK",2021,"Cancer","Viral",8.3,6.14,8.08,"Adult","Other",504198,93.09,2.02,6.47,"Medication",29444.6,"No",82.92,1198,1.53,93207,0.59,42.93
"India",2024,"Hepatitis","Chronic",1.16,0.93,2.91,"Child","Female",496411,58.45,2.92,5.69,"Surgery",5803,"No",72.87,1484,5.67,89052,0.64,70.47
"South Africa",2021,"Ebola","Parasitic",2.98,7.23,9.6,"Child","Male",869491,66.26,0.9,5.66,"Medication",9503,"No",81.11,3889,7.05,38921,0.54,22.78
"South Korea",2021,"Diabetes","Metabolic",14.97,6.84,6.31,"Child","Female",448160,89.52,2.37,8.5,"Therapy",30010,"Yes",58.4,4697,5.53,32303,0.67,84.93
"India",2021,"Zika","Viral",10.91,12.07,3.7,"Senior","Female",177364,97.05,4.1,5.12,"Surgery",16173,"No",79.29,4885,4.24,41471,0.68,58.46
"Italy",2020,"Leprosy","Chronic",3,14.16,9.27,"Young Adult","Male",164581,99.91,3.26,6.08,"Medication",23550,"Yes",67.92,1702,0.15,42425,0.52,75.71
"Argentina",2024,"Diabetes","Chronic",17.57,2.41,8.32,"Child","Male",433480,97.58,1.97,8.15,"Therapy",44227,"No",80.92,3758,3.14,85649,0.51,42.72
"USA",2022,"Malaria","Neurological",6.97,3.83,0.27,"Child","Other",143901,58.56,4.45,8.12,"Surgery",16073,"No",95.62,3180,5.42,93588,0.61,58.44
"Turkey",2021,"Tuberculosis","Infectious",9.51,1.28,5.5,"Adult","Other",946254,80.43,2.87,3.07,"Medication",31004,"No",79.29,4334,7.17,9134,0.71,60.78
"Turkey",2023,"Measles","Viral",18.58,13.17,9.94,"Child","Male",622641,66.85,0.75,2.84,"Vaccination",22829,"Yes",50.91,2655,7.97,21655,0.74,25.43
"Japan",2020,"Hypertension","Autoimmune",9.8,14.91,1.77,"Adult","Male",475142,87.63,0.65,3.6,"Surgery",33782,"Yes",69.82,4500,1.14,46885,0.44,61.87
"Italy",2021,"Hepatitis","Neurological",1.31,1.54,5.2,"Senior","Male",461112,81.11,1.57,4.42,"Vaccination",33678,"No",70.84,3732,0.35,81711,0.77,84.8
"France",2021,"Diabetes","Neurological",2.2,9.18,2.65,"Young Adult","Male",856200,92.36,1.1,4.74,"Vaccination",10336,"No",87.12,1878,8.22,63015,0.47,70.11
"Germany",2024,"Rabies","Chronic",10.41,7.95,5.74,"Child","Male",148680,80.3,0.53,4.39,"Therapy",46868,"No",60.96,2324,0.69,33648,0.84,48.46
"India",2021,"COVID-19","Neurological",9.61,6.4,8.79,"Young Adult","Other",570167,61.04,3.31,8.7,"Vaccination",17451,"No",75.44,1982,6.87,67891,0.79,67.66
"Saudi Arabia",2021,"Leprosy","Respiratory",14.88,5.51,2.47,"Adult","Female",507239,82.99,2.8,5.15,"Vaccination",13882,"Yes",51.05,1147,2.92,47404,0.58,21.08
"Nigeria",2020,"Hypertension","Viral",13.27,4.38,3.52,"Adult","Other",73394,86.94,3.79,6.77,"Surgery",42712,"Yes",92.91,1386,8.53,23653,0.73,86.8
"Italy",2023,"Parkinson's Disease","Chronic",12.13,0.52,4.85,"Child","Female",368932,97.62,2.07,4.05,"Surgery",42676,"Yes",93.21,4893,5.96,93240,0.68,21.35
"Japan",2023,"Cancer","Genetic",2.51,13.91,2.56,"Senior","Male",406918,85.42,1.46,2.95,"Medication",6381,"No",73.13,2860,6.37,58054,0.7,87.53
"Russia",2021,"Measles","Viral",9.02,12.94,5.39,"Child","Male",742035,76.3,1.27,1.41,"Vaccination",2527,"No",90.07,1802,5.71,94008,0.48,66.96
"Mexico",2021,"COVID-19","Neurological",14.11,3.34,5.61,"Senior","Female",220672,69.8,0.5,5.68,"Surgery",20775,"No",97.91,1815,0.86,79134,0.65,70.07
"Mexico",2020,"Measles","Infectious",2.78,14.89,5.57,"Senior","Female",784368,97.76,1.09,4.38,"Vaccination",19037,"No",57.61,205,8.17,78537,0.5,62.96
"Italy",2021,"Malaria","Chronic",15.67,9.18,8.78,"Young Adult","Other",653426,64.45,2.23,8.38,"Surgery",21991,"Yes",87.89,906,4.83,17300,0.88,61.39
"Nigeria",2022,"COVID-19","Genetic",13.61,2.03,0.74,"Senior","Male",481295,75.15,4,4.85,"Vaccination",7012,"No",78.71,3042,9.14,83232,0.41,43.45
"China",2023,"Cholera","Neurological",3.98,11.05,6.51,"Young Adult","Male",524916,83.32,1.29,2.49,"Medication",39233,"No",65.99,1322,6.28,15144,0.7,33.1
"Australia",2022,"COVID-19","Genetic",9.86,14.62,2.16,"Child","Male",739984,55.49,1.41,4.7,"Surgery",22187,"Yes",64.91,2899,2.34,40769,0.7,31.22
"Russia",2021,"Tuberculosis","Infectious",15,2.75,6.11,"Young Adult","Female",738870,98.45,2.17,8.41,"Vaccination",49768,"No",68.06,1494,1.61,29869,0.59,39.46
"Australia",2021,"Polio","Parasitic",13.07,7.71,7.18,"Senior","Other",669782,71.85,4.32,7.23,"Therapy",46787,"Yes",91.89,1483,0.33,48433,0.43,55.19
"China",2020,"Parkinson's Disease","Bacterial",11.88,1.59,6.86,"Adult","Other",970730,73.56,4.85,7.52,"Surgery",48882,"Yes",87.24,4155,8.98,97233,0.87,56.4955555555556
"Argentina",2022,"Tuberculosis","Metabolic",4.83,13.63,5.38,"Young Adult","Other",158338,55.06,1.58,5.22615384615385,"Vaccination",32435,"Yes",64.01,2391,0.83,55316,0.62,25.11
"Saudi Arabia",2022,"COVID-19","Genetic",11.29,4.95,8.14,"Young Adult","Female",884740,65.04,1.17,3.93,"Therapy",29012,"No",88.7,4884,8.94,24741,0.85,84.22
"South Africa",2022,"Dengue","Parasitic",9.38,0.32,3.76,"Senior","Other",402583,57.21,3.12,2.64,"Surgery",13967,"No",70.64,3945,7.77,49169,0.51,57.01
"France",2020,"Leprosy","Infectious",3.03,0.93,1.58,"Child","Female",972078,58,4.12,9.77,"Vaccination",14215,"No",54.5,4672,6.05,5497,0.52,32.5
"Italy",2023,"Influenza","Infectious",4.95,0.21,3.83,"Adult","Male",472071,80.46,0.54,6.67,"Therapy",12052,"Yes",57.81,1284,9.06,98501,0.65,68.11
"Germany",2024,"Parkinson's Disease","Viral",7.34,8.86,5.82,"Child","Male",272193,63.75,2.43,6.27,"Medication",40967,"No",93.97,2834,8.99,45418,0.74,45.73
"Brazil",2024,"Polio","Viral",10.31,7.81,6.08,"Young Adult","Other",305504,70.75,2.53,6.13,"Surgery",14826.1666666667,"Yes",73.46,2198,1.77,8191,0.84,63.31
"Nigeria",2020,"Parkinson's Disease","Cardiovascular",11.55,9.08,1.24,"Senior","Female",295307,55.66,1.4,9.83,"Surgery",311,"Yes",67.2,333,8.61,50099,0.69,48.46
"South Africa",2020,"Malaria","Infectious",14.12,3.57,0.68,"Young Adult","Female",474454,55.22,2.25,5.86,"Vaccination",20577,"Yes",59.96,2546,5.29,30559,0.83,55.08
"France",2020,"Cancer","Genetic",0.75,10.11,4.28,"Child","Male",893691,92,1,4.21,"Therapy",3551,"Yes",69.57,3195,0.99,23348,0.58,50.71
"Russia",2023,"Ebola","Viral",10.34,2.52,9.16,"Adult","Female",140789,81.91,3.83,8.48,"Medication",35722,"No",79.5,1882,2.41,82121,0.83,82.22
"Canada",2021,"Rabies","Autoimmune",7.03,8.51,6.4,"Adult","Other",442024,58.39,2.96,1.41,"Vaccination",30779,"Yes",87.09,4952,3.22,16885,0.55,68.97
"Turkey",2020,"Dengue","Neurological",1.59,6.73,8.47,"Young Adult","Other",240518,58.58,2.1,9.58,"Vaccination",47109,"No",89.04,4624,1.02,21819,0.57,83.53
"Germany",2023,"Cancer","Genetic",13.81,9.83,2.6,"Young Adult","Other",489691,75.38,2.09,7.18,"Therapy",28745,"No",89.64,5,7.75,58741,0.54,58.21
"Mexico",2021,"Tuberculosis","Chronic",13.05,11.5,9.45,"Adult","Male",442698,73.96,3.35,4.61,"Therapy",14933,"Yes",75.27,1804,3.52,8758,0.87,68.61
"India",2024,"Influenza","Neurological",1.23,4.76,0.17,"Young Adult","Female",440115,87.97,1.17,3.43,"Surgery",27147,"No",90.06,2883,1.23,13281,0.56,85.94
"South Africa",2024,"Hepatitis","Metabolic",3.47,12.7,3.41,"Young Adult","Male",856109,70.73,1.63,9.85,"Medication",2146,"Yes",68.26,2157,4.12,67764,0.66,34.51
"Australia",2020,"Ebola","Genetic",8.79,14.52,2.4,"Child","Male",120768,97.87,2.4,1.47,"Vaccination",33425,"No",75.3,803,7.69,41766,0.7,89.37
"Mexico",2024,"Asthma","Metabolic",13.2,8.81,0.49,"Child","Male",695469,72.46,4.25,6.74,"Medication",15000,"Yes",80.03,1785,4.89,25753,0.78,59.69
"Japan",2023,"Hypertension","Viral",17.14,12.58,3.15,"Adult","Female",174008,89.98,1.26,1.68,"Therapy",42604,"Yes",84.97,523,6.7,61187,0.6,45.3
"China",2024,"Asthma","Infectious",15.84,9.71,6.44,"Senior","Female",892738,65.14,4.34,8.25,"Vaccination",25085,"No",60.44,4073,2.15,18095,0.65,81.69
"Mexico",2024,"Measles","Neurological",6.19,11.66,2.52,"Senior","Female",567334,75.79,3.99,3.61,"Medication",22876,"No",51.51,1408,7.2,6633,0.46,69.22
"Saudi Arabia",2021,"Leprosy","Parasitic",1.53,2.1,5.57,"Senior","Male",77529,97.53,3.72,0.7,"Surgery",37767,"Yes",86.02,1282,9.65,3573,0.46,87.39
"South Korea",2023,"Dengue","Viral",9.31,4.05,9.19,"Child","Other",150722,90.48,2.84,1.26,"Therapy",24970,"No",70.2,2290,5.59,41285,0.72,27.04
"Germany",2023,"Ebola","Respiratory",4.1,13.89,0.25,"Adult","Male",764664,72.42,1.51,1.08,"Surgery",39675,"No",88.39,3996,7.4,27267,0.84,71.84
"Germany",2023,"Ebola","Viral",2.98,6.97,7.61,"Young Adult","Male",89558,86.77,2.51,0.77,"Medication",1193,"No",96.29,1842,4.71,74822,0.85,37.76
"China",2022,"Alzheimer's Disease","Parasitic",2.05,11.76,9.61,"Child","Female",40789,59.75,3.03,7.79,"Therapy",14872,"No",96.51,2864,8.83,32712,0.69,37.66
"Japan",2021,"Dengue","Infectious",3.72,8.51,5.42,"Young Adult","Other",622632,90.18,0.9,4.93,"Medication",20473,"No",50.78,3169,9.49,61027,0.44,67.45
"Canada",2024,"Alzheimer's Disease","Genetic",10.76,2.6,6.85,"Senior","Female",418916,98.23,4.22,6.77,"Vaccination",48442,"Yes",69.08,4254,9.71,79086,0.46,44.74
"Mexico",2024,"Rabies","Genetic",12.96,14.88,3.18,"Adult","Female",254782,51.91,0.66,8.71,"Surgery",16123,"No",67.72,1387,7.55,94548,0.83,41.45
"France",2020,"Cholera","Infectious",2.41,4.11,2.22,"Senior","Male",672205,94.34,4.94,1.63,"Surgery",25867.8571428571,"No",63.06,2954,5.63,15240,0.56,45.77
"Turkey",2022,"Dengue","Cardiovascular",15.64,13.98,5.34,"Adult","Female",5874,76.26,4.43,8.52,"Vaccination",17657,"Yes",64.11,732,3.01,73360,0.88,85.67
"India",2020,"COVID-19","Genetic",5.07,10.55,6.63,"Adult","Other",182761,94.97,2.09,8.99,"Vaccination",37098,"Yes",97.59,2670,5.37,874,0.79,76.72
