"country","year","disease_name","disease_category","prevalence_rate","incidence_rate","mortality_rate","age_group","gender","population_affected","healthcare_access","doctors_per_1000","hospital_beds_per_1000","treatment_type","average_treatment_cost_usd","availability_of_vaccines_treatment","recovery_rate","dal_ys","improvement_in_5_years","per_capita_income_usd","education_index","urbanization_rate"
0,2022,12,8,8.9,4.95,6.8,3,0,292517,74.14046901,2.76,7.13,1,39743,1,87.04,1674,0.26,56194,0.57,46.95
4,2024,15,0,13.09,5.82,4.58,2,2,204215,77.98,4.51,2.46,0,3730,1,95.09,691,3.98,27850,0.57,78.87
5,2022,16,2,15.57,5.18,2.13,3,1,916135,80.91,0.67,4.17,2,11170,0,61.44,423,6.57,63180,0.68,23.49
7,2021,19,5,19,7.68,5.28,2,1,850185,74.9,1.79,0.89,1,45089,0,55.42,2947,7.54,39998,0.5,56.31
4,2021,13,0,4.55,5.77,8.24,2,0,796570,90.12,0.88,2.45,1,15455,1,52.57,3166,4.68,25242,0.75,48.02
5,2022,7,6,7.22,12.68,7.51,3,1,283585,75.02386018,2.71,7.49,0,8584,0,90.28,922,8.63,1002,0.63,44.42
3,2023,18,5,3.6,11.81,6.56,1,0,946360,92.06,1.29,6.63,0,39021,0,76.56,1903,6.68,96994,0.46,21.79
2,2023,7,7,16,13.91,4.49,2,2,510315,84.74,3.21,4.66,1,30405,0,84.78,4718,3.72,91042,0.54,27.67
6,2023,12,0,4,3.48,4.67,1,0,834195,62.15,3.31,8.84,1,14310,0,53.59,2536,6.63,81186,0.55,68.66
7,2024,2,5,10.11,13.95,2.68,2,1,313069,58.27,3.3,1.02,1,19080,1,56.54,4238,1.34,87081,0.41,87.01
0,2023,7,0,5.13,6.09,3.34,2,0,936097,50,1.7,5.34,0,11091,0,66.78,4271,5.63,88666,0.77,51.07
1,2023,5,1,15.96,7.37,9.03,3,1,946182,86.68,0.52,9.61,3,41663,0,80.99,2063,7.79,40431,0.47,79.46
3,2022,14,4,12.43,9.95,4.45,1,1,720229,56.6,3.3,1.51,3,20300,0,72.55,441,1.42,41671,0.74,42.11
0,2023,4,5,11.68,0.15,4.26,1,1,151873,73.81,3.96,3.1,2,46477,1,65.38,3067,1.01,39115,0.82,66.81
5,2020,1,9,8.88,14.79,8.13,3,2,526011,75.02386018,3.25,4.03,1,22484,0,68.91,3899,4.71,64953,0.48,80.66
5,2020,14,8,5.5,0.86,6.43,0,1,151506,94.48,4.56,0.61,0,17019.42857,0,87.2,4503,2.56,8305,0.49,77.48
5,2023,18,0,15.86,10.13,9.75,0,0,795801,74.34,4.59,7.11,2,3960,1,64.28,4411,8.92,35167,0.51,24.7
0,2020,7,6,17.62,4.87,0.33,1,0,144600,99.51,2.68,8.53,3,30705,1,78.44,961,7.56,7105,0.69,85.09
6,2023,1,0,6.07,5.92,6.06,0,2,678117,58.1,4.76,5.176,1,17148,0,77.54,4099,0.45,88129,0.43,21.68
3,2024,12,8,15.28,12.77,5.4,1,1,499111,85.67,3.13,9.63,1,45518,0,86.74,892,9.54,29205,0.83,60.4
5,2021,15,3,10.25,7.48,2.09,0,2,691469,67.77,1.89,4.42,1,19920,0,96.78,3519,3.12,27120,0.78,70.8
6,2020,9,2,9.2,7.97,8.59,3,2,149759,51.2,1.3,4.41,1,34702,1,64.65,2570,1.8,94246,0.41,44.18
0,2021,7,4,2.75,5.62,9.9,1,1,810065,91.9,2.03,5.31,3,34512,1,78.78,1973,5.04,79324,0.79,36.57
5,2020,7,4,10,10.67,5.73,0,2,525467,73.38,0.83,5.91,1,37387,0,55.08,554,7.07,57001,0.42,22.46
7,2020,13,6,18.64,13.52,8.35,0,1,389631,81.68,2.11,2.16,3,47829,1,61.32,3360,4.42,43283,0.44,24.22
6,2020,15,6,11.4,5.52,7.55,2,0,705106,72.99,1.9,3.45,0,37168,0,85.55,1541,5.99,11718,0.64,62.35
0,2024,14,6,15.33,7.72,9.32,1,2,641466,64.12,1.44,8.48,2,10533,0,96.34,4233,9.82,22815,0.52,33.1
7,2021,11,9,4.36,3.52,2.91,1,0,447675,93,3.65,7.36,2,18395,0,91.84,884,0.04,28128,0.77,53.03
7,2022,7,5,6.86,10.36,4.44,2,0,116440,99.48,4.78,6.02,3,34641,0,63.01,3483,6.8,57293,0.52,39.42
0,2023,7,2,10.01,8,5.17,1,1,700766,83.65,1.02,7.76,0,38330,1,53.84,3534,6.08,58323,0.48,79.1
1,2024,8,4,4.06,3.78,4.84,1,0,509196,62.33,2.31,2.68,2,12338,1,73.4,3120,7.42,12800,0.78,88
1,2022,15,3,11.51,1.46,0.53,3,1,394014,74.21,3.62,9.32,2,16431,1,96.57,2863,8.72,60679,0.88,20.43
5,2023,19,3,0.99,13.53,8.77,1,1,362492,87.54,2.23,9.28,2,2251,1,73.23,2914,3.54,49705,0.77,58.94
4,2023,2,4,14.87,11.52,6.63,2,2,325060,80.99,0.97,3.37,0,5597,0,91.85,2451,9.08,1065,0.47,78.48
3,2022,19,7,9.14,3.04,4.59,0,2,632711,98.43,2.19,4.41,1,15886,1,66.96,341,3.28,50757,0.4,73.93
0,2023,13,10,9.2,1.06,0.31,2,2,754254,83.09,4.87,2.57,2,39986,1,68.29,1016,8.02,70081,0.68,40.51
2,2021,9,1,9.64,2.02,6.33,0,2,355833,86.71,3.8,3.42,2,13482,1,92.19,3604,3.31,85517,0.56,53.73311688
6,2023,18,9,4.42,1.73,8.74,1,2,931068,64.25,1.97,8.75,3,28166,0,80.65,558,7.76,18650,0.56,30.49
0,2023,18,5,11.93,9.47,8.33,0,2,223202,88.88,1.26,8.9,0,38953,1,61.64,4447,5.28,55182,0.65,37.2
7,2024,12,10,6.99,14.32,4.52,3,2,980564,86.6,4.61,9.02,1,15449,0,60.85,2636,5.3,14496,0.77,84.9
6,2024,7,0,2.67,10.98,3.42,2,1,973074,52.31,2.6,8.74,3,27309,1,94.11,4571,7.52,92426,0.88,66.84
2,2022,1,2,5.28,6.91,1.21,2,0,854965,88.22,3.52,1.41,2,3944,1,71.41,1906,0.1,72805,0.87,45.17
0,2023,15,6,1.26,10.92,5.49,2,0,271572,70.14,2.22,4.35,3,47424,0,80.42,3891,8.67,24288,0.52,21.49
2,2023,16,0,13.07,3.85,0.91,1,0,359566,64.71,4.14,9.45,2,37124,1,80.26,2813,1.2,6165,0.68,71.64
3,2023,19,2,13.93,10.99,3.11,1,1,612284,54.38,2.05,4.64,2,46140,1,84.89,4236,6.28,65703,0.55,30.13
0,2023,2,6,18.59,7.81,3.75,0,1,308766,71.86,3.41,8.13,1,46491,1,55.68,84,4.92,6062,0.7,73.02
6,2020,7,0,18.9,4.96,2.5,2,1,959084,58.15,3.32,1.6,3,45986,1,91.41,4431,9.49,59542,0.59,81.43
3,2020,0,1,16.48,6.44,7.14,0,0,368166,58.41,3.33,5.37,1,23444,0,81.65,3856,0.75,5878,0.46,33.4
2,2020,15,6,5.84,5.79,7.07,1,0,638008,93.34,2.99,3.72,0,30337,0,64.77,3942,7.52,82732,0.56,29.82
1,2023,16,10,11.7,8.325,7.05,1,2,111957,84.52,2.704538462,3.21,0,3965,0,58.96,1874,9.39,96444,0.42,78.53
2,2021,10,10,19.07,9.55,1.87,2,2,129913,77.55,4.17,6.63,0,24457,1,91.66,2608,2.48,81998,0.51,38.78
1,2020,4,6,3.33,9.61,0.4,3,1,219514,70.15,0.56,2.89,2,29840,1,55.1,2496,3.14,2838,0.49,82.68
4,2022,6,1,18.7,10.46,5.9,2,2,542251,97.63,1.71,9.02,1,9636,1,64.19,3192,1.24,6467,0.69,77.41
5,2023,18,7,16.16,14.05,3.88,0,0,105380,98.82,2.67,2.82,1,27581,1,58.65,2265,2.89,12973,0.57,73.87
7,2022,7,9,11.69,2.91,6.94,2,2,800790,86.94,3.51,9.23,1,26083.6,0,52.43,2763,3.89,17617,0.89,66.16
6,2020,3,1,19.78,6.12,0.97,3,2,531367,71.39,1.83,7.45,1,39022,0,93.86,2740,7.85,10776,0.9,27.8
7,2022,16,8,6.25,13.46,5.26,3,0,321089,85.86,3.37,7.54,2,47413,0,73.74,1735,6.15,14771,0.68,47.32
2,2021,9,8,5.26,13.63,6.4,0,0,622718,95.09,4.54,1.03,3,24504,1,85.3,1293,7.37,606,0.87,50.36
6,2021,8,1,14.29,13.47,8.76,1,0,253918,64.07,2.54,6.33,0,17577,1,98.99,2776,8.66,64536,0.48,83.37
1,2024,8,0,0.9,13.72,4.87,0,0,638011,62.78,2.14,7.43,0,32553,1,97.5,2869,4.29,64432,0.88,75.21
3,2020,5,0,17.54,6.64,5.25,3,1,833356,78.2,4.48,9.58,1,7325,1,73.8,3434,2.08,52805,0.77,47.77
3,2024,4,10,5.05,2.88,9.58,0,0,472641,76.54,1,8.97,1,47312,1,75.55,577,2.35,32221,0.52,35.26
5,2023,9,8,16.7,13.65,3.93,3,2,505500,54.36,3.95,0.54,1,23384,0,96.65,613,5.15,8315,0.86,66.64
1,2021,10,6,10.29,8.55,6.52,2,2,635747,50.93,4.36,3.88,1,6061,0,77.77,461,0.5,40981,0.46,73.85
4,2022,14,4,1.17,1.23,9.78,2,2,462943,51.62,1.81,5.454920635,1,12316,0,56,1903,4.02,77491,0.66,56.9
6,2020,19,10,9.84,7.58,9.16,3,2,346196,62.93,4.13,9.87,3,41045,1,84.17,4243,8.07,55335,0.75,68.85
6,2022,17,9,5.38,2.35,3.9,1,0,604229,72.13,1.74,4.03,1,10331,1,72.02,1231,7.61,90181,0.69,67.27
1,2020,8,6,5.19,1.5,7.09,1,2,708046,75.51,2.67,7.41,1,24874,1,74.65,994,3.58,20654,0.49,69.91
5,2020,11,6,4.62,13.11,0.43,3,2,230533,83.85,1.65,0.99,0,39653,1,58.59,362,5.76,53605,0.62,49.99
4,2023,8,1,15.24,10.29,4.23,0,0,475265,83.74,3.06,5.22,1,46351,1,91.4,4414,7.22,58027,0.65,86.3
7,2023,9,8,11.69,1.27,1.5,0,0,693821,63.12,0.86,2.74,1,10658,1,62.46,226,6.82,23850,0.48,33.95
5,2021,5,1,0.64,0.51,4.91,0,0,718268,80.75,1.99,1.85,1,27101,0,96.52,4919,4.38,65020,0.56,56.9
3,2020,11,6,5.86,13.57,4.84,3,0,222895,89.71,1.07,7.96,2,24060,0,73.8,4121,6.29,2177,0.76,64.42
3,2020,13,10,5.98,7.65,6.6,2,0,180941,95.15,3.65,1.38,0,20284.72727,1,92.92,766,2.53,509523.1992,0.79,30.36
4,2021,1,5,11.56,9.58,6,3,2,298272,79.32,4.59,7.52,1,33211,0,86.65,3976,1.55,88141,0.89,52.73
1,2020,0,9,11.32,6.86,2.55,0,0,143751,68.63,3.84,7.58,2,11780,1,61.45,2276,8.08,50793,0.71,58.98
4,2020,4,4,2.99,11.28,8.29,2,0,771490,85,2.92,0.87,3,7344,1,60.92,4098,3.87,62104,0.46,85.91
5,2021,11,10,7.45,5.33,4.6,1,2,123367,100,4.45,4.93,3,42748,1,55.61,3195,1.33,95298,0.62,51.48
1,2024,1,6,6.08,7.92,1.5,0,0,660411,59.16,1.72,4.13,2,4961,1,52.95,3588,8.34,88456,0.85,27.02
4,2022,14,9,7.78,1.94,7.99,2,0,783922,81.8,4.75,7.12,0,46127,0,86.96,4832,8.41,56744,0.54,48.36
5,2024,3,8,14.25,10,9.9,2,0,611676,64.51,4.92,1.74,0,2087,0,74.12,4185,0.6,62157,0.72,24.15
0,2022,10,3,10.99,0.33,3.38,1,1,159614,53.39,3.1,0.86,3,49805,1,69.65,4974,6.42,73998,0.89,67.41
7,2022,17,9,2.42,7.88,6.46,2,2,401970,86.22,1.86,8.07,1,44158,1,86.96,579,2.42,51608,0.59,21.02
2,2023,0,10,0.21,6.92,8.34,2,2,876750,62.04,0.56,1.88,0,1680,1,69.27,4602,0.38,64649,0.72,22.12
6,2024,13,6,13.68,2.25,0.27,3,0,73471,97.48,2.73,3.79,2,40555,0,75.77,2122,0.53,54203,0.72,45.76
4,2024,13,9,7.46,4.26,4.4,1,2,594534,74.04,4.68,3.68,3,32604,1,62.3,4814,8.87,47670,0.46,75.51
7,2020,16,3,19.39,12.87,5.28,1,2,821345,64.4,2.873076923,2.24,0,38766,0,88.01,2791,5.64,35064,0.45,89.5
6,2024,13,3,17.41,4.17,3.99,2,0,174736,54.66,3.68,7.93,0,40302,0,73.5,4716,4.42,7082,0.54,24.15
1,2024,16,10,7.05,12.57,7.5,0,0,268250,84.97,3.81,5.50503937,3,35892,0,61.5,1922,5.33,32959,0.72,27.34
1,2020,16,8,7.64,7.82,7.89,2,1,790057,89.29,1.37,1.93,0,10179,0,68.96,3121,0.42,94303,0.74,70.55
4,2024,0,0,4.98,6.23,5.245,0,2,360165,68.57,3.9,5.85,3,27819,0,70.2,3752,4.45,39528,0.78,50.2
3,2021,19,9,6.01,13.62,2.08,2,0,832512,83.48,2.783943662,3.73,3,20759,1,94.45,4858,5.52,97661,0.75,86.75
5,2022,9,3,17.83,13.47,5.98,2,0,724972,75.54,2.3,9.21,3,44115,1,79.03,4472,3.42,4893,0.43,58.2
6,2022,8,5,16.29,5.905,4,3,0,94130,64,3.8,6.51,3,48961,1,63,2147,0.15,78201,0.46,51.1
1,2021,17,5,11.255,4.8,6.67,0,2,974884,99.83,0.79,1.75,1,25735,1,60.9,3577,6.2,50327,0.87,55.46
0,2023,16,3,11.68,9.96,5.23,3,0,89227,77.53,1.88,7.58,2,11821,1,67.15,3196,3.28,77926,0.61,49.46
3,2020,16,8,15.79,0.85,3.73,3,0,494098,81.31,1.12,1.91,0,17105,0,97.69,3264,1.42,61715,0.81,36.93
1,2023,4,6,4.9,14.67,6.03,3,1,563171,86.55,3.16,8.98,2,44090,0,53.38,1685,5.87,97925,0.54,78.13
4,2024,3,5,15.83,3.51,5.81,2,2,104346,88.1,2.34,4.78,2,23159,0,77.54,6,7.56,15923,0.69,38.49
6,2024,15,3,13.79,2.23,8.92,2,2,763309,89.01,3.08,6.17,0,3088,0,77.75,4227,8.51,47076,0.72,54.9
0,2023,8,2,13.3,6.66,2.06,2,2,521923,87.27,3.51,2.62,0,46627,1,84.67,4992,1.24,78525,0.58,82.83
2,2022,12,4,12.29,10,4.31,2,2,624759,76.04,3.05,6.75,2,27997,1,59.4,1272,3.72,67053,0.68,80.88
2,2024,14,8,9.34,11.03,0.64,0,2,104033,52.25,2.77,0.83,3,34252,0,60.42,2911,8.36,18140,0.53,25.37
3,2023,4,0,6.6,5.26,8.25,0,2,913923,50.07,3.55,6.04,2,5970,1,73.59,4481,5.65,69394,0.85,49.19
5,2022,18,8,9.05,4.7,9.55,3,2,978518,87.74,3.46,2.04,0,20798,0,60.82,4203,1.06,4230,0.45,74.62
2,2020,0,2,17.73,6.61,3.44,3,1,802391,91.86,4.9,6.15,0,43402,0,84.11,4161,6.08,21574,0.44,39.53
5,2020,13,10,11.42,10.48,5.88,2,0,560450,84.32,0.89,2.41,1,45055,0,77.08,4041,0.63,97804,0.41,77.38
1,2024,6,1,6.47,0.19,2.18,3,0,254042,78.73,3.46,5.36,3,9307,0,97.35,1239,3.19,36089,0.47,52.78
0,2022,2,9,19.6,4.25,2.8,1,2,451282,74.14046901,2.84,6.65,1,14552,0,58.41,3685,2.59,22260,0.58,31.28
5,2022,0,5,8.1,13.05,0.9,0,0,539439,69.46,4.18,2.54,3,31967,1,95.65,2838,3.51,24286,0.89,53.77
2,2022,13,8,15.03,6.5,6.3,2,0,407447,66.82,3.52,5.03,0,18153,0,92.19,4486,3.27,17042,0.66,51.89
7,2022,8,5,3.85,14.05,5.3,2,2,566235,85.01,4.01,2.03,2,44986,1,89.86,1261,1.36,40627,0.43,43.08
7,2023,4,0,16.58,2.26,4.32,0,1,664750,81.39,4.19,7.84,2,3722,0,64.62,3592,2.13,49686,0.56,43.38
5,2020,10,2,15.44,9.74,3.99,0,1,769982,94.5,3.52,2.99,1,8169,0,84.15,3309,8.59,83500,0.51,88.25
6,2023,4,5,0.61,4.05,4.42,3,2,465510,90.59,1.01,1.1,3,31470,1,51.78,4545,6.65,84817,0.56,36.73
6,2023,2,8,7.36,11.67,6.45,0,0,562864,97.01,3.86,6.16,3,23729,0,73.33,4659,1.47,35857,0.59,63.77
1,2022,9,10,13.47,6.32,1.12,1,2,285582,62.94,2.64,5.3,0,46307,1,96.85,4653,7.53,66727,0.48,42.15
1,2023,3,1,15.9,10.6,3.79,0,0,212168,86.58,1.06,3.27,1,13515,1,94.86,3361,2.79,82620,0.56,58.43
5,2020,19,4,12.65,0.24,9.58,3,2,535810,58.54,1.78,0.96,3,36239,0,67.78,3792,7.32,681,0.52,43.81
7,2024,2,4,15.22,5.25,5.79,0,0,756182,67.48,0.77,4.8,2,2420,1,95.27,706,9.3,74122,0.6,42.68
4,2021,0,6,16.96,0.81,0.54,3,0,863445,58.99,3.46,2.56,1,33323,0,71.02,2939,2.2,30582,0.46,45.52
1,2023,14,5,16.67,0.52,4.4,0,2,749064,66.42,1.93,4.33,1,37494,0,93.34,3995,1.46,50421,0.75,28.68
5,2022,7,7,13.8,11.86,8.35,2,1,238854,59.02,5,4.53,1,33827,1,97.01,3704,6.36,34832,0.54,51.48
5,2020,2,8,15.57,7.51,5.32,3,1,514006,92.92,0.86,9.12,0,9466,0,59.68,944,7.76,97525,0.86,48.53
7,2023,12,10,5.33,3.61,7.29,3,2,279344,97.2,1.49,3.44,1,3290,1,74.84,2592,8.79,42784,0.67,82.4
4,2023,13,9,6.94,0.55,5.48,1,1,144685,81.3,0.84,1.31,2,25147,0,61.43,4070,4.75,97577,0.9,41.63
5,2024,18,3,15.7,4.04,7.69,3,0,700834,88.84,2.29,8.43,3,40049,0,96.27,3574,2.76,64300,0.7,87.41
5,2023,7,5,11.79,1.36,5.59,3,0,238838,76.61,4.62,3.6,0,8555,1,81.83,2448,3.38,55244,0.78,76.37
4,2020,9,8,18.81,8.9,9.3,3,0,960590,84.81,4.62,5.81,1,6875,1,69.21,3099,7.28,7079,0.43,44.02
0,2024,4,6,10.87,11.91,9.08,0,2,50894,74.14046901,4.36,9.44,1,21241,1,89.31,4764,2.67,11998,0.41,80.92
2,2020,10,0,14.76,9.81,8.05,1,1,399092,63.78,4.34,1.55,3,34298,0,74.47,4187,8.77,44617,0.73,69.08
0,2023,2,4,18.87,12.27,7.56,2,1,737646,85.95,3.21,4.82,1,45290,0,61.47,1385,2.22,24271,0.9,48.37
5,2021,19,1,17.75,0.56,1.38,1,1,524109,56.62,2.58,7.41,0,36984,0,52.43,2471,6.23,35063,0.47,57.6
3,2021,9,5,3.55,11.38,1.38,3,2,518395,59.4,2.1,8.91,3,18117,1,81.14,3615,3.42,4911,0.84,52.81
2,2023,11,9,4.03,13.22,1.01,3,0,730563,98.12,4.19,5.95,1,5009,1,65.31,2994,1.72,70686,0.84,30.15
2,2020,3,3,3.99,2.1,7.73,3,0,199056,65.76,2.47,5.66,0,22122,1,57.71,1837,5.11,85176,0.6,79.42
2,2020,5,5,2.67,0.76,5.87,0,1,397282,85.36,3.2,6.69,0,47042,1,85.65,2110,6.36,63840,0.86,41.92
0,2023,4,6,6.19,6.85,3.78,1,1,678778,62.52,3.7,2.9,2,19757,0,85.48,1267,2.03,77753,0.44,75.42
7,2024,12,4,18.02,10.44,2.23,2,1,179517,69.62,0.52,2.58,2,35495,1,50.49,395,7.17,21089,0.83,69.43
1,2020,8,8,1.99,3.27,3.91,3,2,312134,99.76,4.62,5.14,1,9047,0,87.24,3594,4.79,17177,0.54,70.62
4,2021,8,7,7.83,4.88,6.42,1,1,144243,74.53,0.83,4.94,2,7075,0,69.1,985,2.04,75723,0.8,27.17
7,2020,19,3,0.25,3.11,1.04,2,1,459513,82.89,0.78,4.55,0,3821,1,67.13,342,4.68,47157,0.9,54.9
0,2023,12,10,18.49,12.99,8.72,3,2,906641,84.34,2.81,1.71,2,48319,1,89.45,1514,9.5,10739,0.81,71.72
0,2020,1,3,8.61,13.78,8.79,2,0,465025,88.04,2.63,2.96,3,10347,0,70.5,4670,5.31,17875,0.76,82.62
7,2023,11,1,0.56,10.7,4.76,2,2,21867,86.96,1.57,5.74,1,33973,1,61.45,578,9.25,90626,0.61,51.04
3,2020,10,10,5.9,5.9,4.83,1,0,425636,52.18,0.79,9.96,0,22879,0,95.51,2436,2.08,98138,0.66,52.66
0,2020,7,5,10.19,13.84,5.91,1,1,394981,99.24,3.38,8.98,0,8729,1,82.82,4228,4.58,40554,0.46,29.47
4,2024,9,0,9.86,4.14,8.12,3,1,115996,53.35,4.65,6.94,3,23783,1,72.89,1266,6.43,15285,0.77,77.45
1,2023,3,0,1.54,8.5,6.89,1,0,18066,92.41,4.48,3.84,3,16042,1,66.3,2664,2.39,98610,0.65,83.75
6,2022,12,3,4.59,10.33,6.66,2,2,623875,76.13,2.28,9.05,2,44101,1,61.68,601,3.35,38653,0.69,86.98
6,2024,4,2,0.4,7.4,8.79,2,0,334053,74.14,3.23,9.93,1,28235,1,68.02,4018,5.54,31947,0.75,77.34
2,2020,6,3,11.8,5.13,2.01,2,0,363441,50,0.81,5.6,1,5464,0,89.7,948,1.69,65263,0.43,28.08
0,2021,4,5,11.84,12.26,8.4,2,2,950179,76.67,3.06,0.51,0,30621,0,53.31,4786,9.71,65800,0.78,64.06
2,2024,15,6,17.54,14.24,3.22,2,2,546502,66.1,2.92,4.42,0,35430,0,72.15,1589,3.51,2020,0.77,86.36
3,2020,14,8,17.85,14.54,7.65,1,2,835809,69.39,3.04,3.67,3,49116,1,58,2759,3.43,61885,0.85,61.5
2,2021,12,10,10.53,11.31,6.69,0,1,54850,84.29,3.28,0.56,2,32768,0,56.25,1822,3.11,64503,0.86,66.01
4,2022,1,3,13.55,15,3.71,1,0,641849,70.25,4.48,9.59,3,10460,0,89.95,1207,0.4,32235,0.75,48.31
4,2022,2,9,12.98,8.01,0.7,2,2,644305,92.38,3.75,4.29,2,18911,1,50.19,3030,6.16,96131,0.5,72.91
1,2023,7,0,10.39,5.6,5.85,3,2,248385,96.14,4.83,2.51,3,20245,1,95.82,3094,5.22,69368,0.62,36.58
5,2022,18,1,5.62,13.52,0.72,2,1,760258,75.32,1.43,4.51,3,44259,0,64.92,2126,2.7,78296,0.48,75.97
5,2020,0,6,15,6.795,2.93,2,1,63506,67.03,3.61,6.29,0,19356,1,60.28,1902,3.57,57027,0.83,20.8
2,2023,17,0,3.31,9.1,0.54,0,0,312418,88.66,4.87,6.6,3,38665,1,79.53,439,3.39,92749,0.59,40.71
2,2020,13,1,14.83,7.49,7.73,0,1,950598,98.54,1.76,4.94,0,35640,0,89.92,4153,1.25,33393,0.56,81.16
5,2022,2,7,6.7,13,8.28,1,2,604844,53.25,3.8,1.39,2,14638,1,87.23,4620,5.75,58190,0.79,57.17
4,2022,2,9,16.08,1.99,3.55,1,1,193977,64.53,0.62,8.07,2,28214,1,90.57,172,8.23,23885,0.46,78.27
1,2021,15,0,5.37,10.06,0.37,0,2,178898,75.04894061,2.7,4.1,3,46207,1,52,728,2.59,97427,0.48,35.3
2,2020,0,1,4.24,5.41,4.01,3,0,727446,59.13,1.83,6.43,1,26032,1,73.76,3099,3.63,18089,0.61,77.01
7,2023,19,5,18.4,12.07,5.86,2,0,709031,68.82,4.55,7.81,3,7171,1,72.41,998,3.47,12493,0.77,30.39
4,2021,4,1,7.62,3.35,4.71,1,0,581006,93.49,4.1,8.79,2,44374,1,64.01,840,3.33,56956,0.84,67.93
4,2022,19,7,12.17,0.66,4.73,1,0,823247,66.6,2.39,1.21,3,35225,0,96.5,4287,3.61,41427,0.88,56.98
7,2021,19,2,15.67,1.91,2.05,0,2,260109,99.14,2.13,1.38,2,12769,1,78.63,1930,8.5,17036,0.41,50.44
2,2024,9,5,12.22,14.79,4.78,2,2,396901,93.46,2.44,0.81,3,3295,0,77.82,4620,6.01,44555,0.53,39.44
2,2020,13,8,14.56,6.32,3.77,1,1,95619,77.06,3.51,9.95,2,2807,0,90.84,4504,4.9,98736,0.78,81.08
6,2022,12,8,9.88,1.48,1.34,3,1,781050,56.91,1.96,5.166859504,1,11673,0,64.17,4519,5.23,34406,0.41,26.29
0,2023,19,2,17.85,12.31,0.28,3,0,314612,62.3,4.52,2.64,2,27034,1,66.02,239,6.26,67288,0.73,49.58
2,2023,16,10,19.27,2.01,5.54,1,2,370288,96.92,2.98,7.39,1,30090,0,56.2,4729,4.99,19051,0.66,49.32
4,2021,8,3,3.3,12.7,2.22,1,0,761749,92.27,1.53,8.99,2,3536,1,78.41,2101,1.27,32424,0.49,51.22
4,2022,1,3,3.81,13.97,5.57,2,0,75793,60.7,3.18,2.78,0,40417,1,58,957,9.73,73004,0.78,89.32
6,2024,2,5,14.17,6.49,6.76,0,0,185806,79.38,3.27,5.55,3,28980,1,80.07,2676,8.6,44250,0.79,73.44
5,2021,6,4,16,13.27,8.91,3,2,875425,75.02386018,3.34,5.65,0,29433,0,86.38,290,3.63,87341,0.77,86.69
4,2020,15,0,8.89,5.76,7.79,3,1,355016,89.21,3.72,3.17,2,38020,1,50.07,2315,3.36,22596,0.76,80.33
7,2022,5,7,18.62,14.09,5.16,0,0,831309,88.52,4.19,7.42,2,40948,0,56.16,3841,5.18,11439,0.85,35.23
4,2023,7,0,3.71,6.38,0.47,3,2,133976,53.38,3.31,0.79,2,42797,0,87.63,2067,1.62,81176,0.45,65.55
3,2021,0,2,0.74,11.65,2.41,3,0,816997,74.79517493,1.34,5.74,2,21908,1,98.92,2036,5.4,48147,0.46,79.45
3,2022,4,6,19.85,8.94,7.53,2,1,940193,61.89,0.92,7.52,3,4026,1,65.28,2141,5.22,73291,0.6,73.55
2,2024,9,10,2.55,4.3,3.67,0,1,464716,99.36,3.2,6.79,0,49711,1,88.74,4797,9.11,31699,0.57,44.27
4,2022,3,5,17.74,5.96,4.18,3,2,539748,96.77,2.831428571,1.68,0,46894,1,80.09,163,7.76,29146,0.71,68.63
6,2022,1,5,2.6,10.32,2.66,0,1,52074,79.45,0.68,2.77,3,38099,0,85.92,750,5.03,14222,0.87,54.33
3,2023,10,4,2.29,3.33,4.42,1,0,254425,60.85,3.61,6.46,0,9333,1,68.07,587,6.1,44632,0.47,36
6,2021,14,5,3.97,5.42,9.58,0,2,161130,61.26,4.81,3.29,3,40473,1,88.8,1929,7.11,89391,0.72,21.4
6,2022,12,6,9.21,11.28,6.76,0,2,476472,74.90659733,1.37,0.8,0,19215,1,80.94,803,6.62,87581,0.58,63.06
4,2022,9,8,13.86,9.52,9.39,0,1,169737,67.62,3.7,5.75,3,8698,1,88.16,586,9.58,71098,0.63,29.41
2,2021,5,0,14.95,7.98,4.91,2,0,261149,64.72,2.38,1.19,3,14464,0,58.9,2541,7.35,8320,0.49,74.69
7,2023,3,8,0.56,14.89,8.91,0,0,13146,80.29,2.46,0.88,3,29228,1,78.02,3775,9.95,66664,0.78,65.51
3,2023,17,5,19.52,7.31,1.92,0,1,42283,86.96,4.18,4.37,2,31422,1,63.26,3296,0.52,74322,0.9,30.83
1,2024,7,7,10.76,13,7.98,3,2,232771,94.53,2.89,4.39,0,21276,0,78.17,2206,1.28,83209,0.86,72.8
3,2020,12,4,18.43,9.42,8.96,1,0,451402,84.78,0.92,7.6,3,29995,1,56.37,893,1.29,48146,0.69,42.05
2,2023,19,9,0.67,2.1,5.05,3,0,639818,64.59,3.31,2.03,2,315,0,70.99,4157,7.44,1908,0.42,69.83
6,2023,7,7,0.47,6.56,5.31,0,1,683662,52.5,1.37,8.1,2,1359,1,95.41,2992,1.88,22606,0.58,29.03
2,2021,15,5,3.69,10.08,8.71,3,2,196245,66.3,4.63,2.8,1,33731,0,65.38,3425,7.73,38832,0.45,43.19
6,2020,8,10,18.51,0.21,4.52,3,0,685065,98.57,1.95,8.71,3,33446,1,66.16,4203,6.93,8118,0.62,23.16
