"country","disease_name","disease_category","age_group","gender","treatment_type","availability_of_vaccines_treatment","year","prevalence_rate","incidence_rate","mortality_rate","population_affected","healthcare_access","doctors_per_1000","hospital_beds_per_1000","average_treatment_cost_usd","recovery_rate","dal_ys","improvement_in_5_years","per_capita_income_usd","education_index","urbanization_rate"
"Russia","Asthma","Chronic","Adult","Female","Medication","Yes",2022,3.81,13.97,5.57,75793,60.7,3.18,2.78,40417,58,957,9.73,73004,0.78,89.32
"UK","Cancer","Infectious","Child","Female","Vaccination","Yes",2024,14.17,6.49,6.76,185806,79.38,3.27,5.55,28980,80.07,2676,8.6,44250,0.79,73.44
"South Africa","Diabetes","Genetic","Senior","Other","Medication","No",2021,16,13.27,8.91,875425,75.02,3.34,5.65,29433,86.38,290,3.63,87341,0.77,86.69
"Russia","Parkinson's Disease","Autoimmune","Senior","Male","Therapy","Yes",2020,8.89,5.76,7.79,355016,89.21,3.72,3.17,38020,50.07,2315,3.36,22596,0.76,80.33
"USA","Dengue","Neurological","Child","Female","Therapy","No",2022,18.62,14.09,5.16,831309,88.52,4.19,7.42,40948,56.16,3841,5.18,11439,0.85,35.23
"Russia","Ebola","Autoimmune","Senior","Other","Therapy","No",2023,3.71,6.38,0.47,133976,53.38,3.31,0.79,42797,87.63,2067,1.62,81176,0.45,65.55
"Nigeria","Alzheimer's Disease","Cardiovascular","Senior","Female","Therapy","Yes",2021,0.74,11.65,2.41,816997,74.8,1.34,5.74,21908,98.92,2036,5.4,48147,0.46,79.45
"Nigeria","COVID-19","Metabolic","Adult","Male","Vaccination","Yes",2022,19.85,8.94,7.53,940193,61.89,0.92,7.52,4026,65.28,2141,5.22,73291,0.6,73.55
"India","HIV/AIDS","Viral","Child","Male","Medication","Yes",2024,2.55,4.3,3.67,464716,99.36,3.2,6.79,49711,88.74,4797,9.11,31699,0.57,44.27
"Russia","Cholera","Infectious","Senior","Other","Medication","Yes",2022,17.74,5.96,4.18,539748,96.77,2.83,1.68,46894,80.09,163,7.76,29146,0.71,68.63
"UK","Asthma","Infectious","Child","Male","Vaccination","No",2022,2.6,10.32,2.66,52074,79.45,0.68,2.77,38099,85.92,750,5.03,14222,0.87,54.33
"Nigeria","Hypertension","Genetic","Young Adult","Female","Medication","Yes",2023,2.29,3.33,4.42,254425,60.85,3.61,6.46,9333,68.07,587,6.1,44632,0.47,36
"UK","Measles","Infectious","Child","Other","Vaccination","Yes",2021,3.97,5.42,9.58,161130,61.26,4.81,3.29,40473,88.8,1929,7.11,89391,0.72,21.4
"UK","Leprosy","Metabolic","Child","Other","Medication","Yes",2022,9.21,11.28,6.76,476472,74.91,1.37,0.8,19215,80.94,803,6.62,87581,0.58,63.06
"Russia","HIV/AIDS","Parasitic","Child","Male","Vaccination","Yes",2022,13.86,9.52,9.39,169737,67.62,3.7,5.75,8698,88.16,586,9.58,71098,0.63,29.41
"India","Dengue","Autoimmune","Adult","Female","Vaccination","No",2021,14.95,7.98,4.91,261149,64.72,2.38,1.19,14464,58.9,2541,7.35,8320,0.49,74.69
"USA","Cholera","Parasitic","Child","Female","Vaccination","Yes",2023,0.56,14.89,8.91,13146,80.29,2.46,0.88,29228,78.02,3775,9.95,66664,0.78,65.51
"Nigeria","Rabies","Infectious","Child","Male","Therapy","Yes",2023,19.52,7.31,1.92,42283,86.96,4.18,4.37,31422,63.26,3296,0.52,74322,0.9,30.83
"China","Ebola","Neurological","Senior","Other","Medication","No",2024,10.76,13,7.98,232771,94.53,2.89,4.39,21276,78.17,2206,1.28,83209,0.86,72.8
"Nigeria","Leprosy","Genetic","Young Adult","Female","Vaccination","Yes",2020,18.43,9.42,8.96,451402,84.78,0.92,7.6,29995,56.37,893,1.29,48146,0.69,42.05
"India","Zika","Respiratory","Senior","Female","Therapy","No",2023,0.67,2.1,5.05,639818,64.59,3.31,2.03,315,70.99,4157,7.44,1908,0.42,69.83
"UK","Ebola","Neurological","Child","Male","Therapy","Yes",2023,0.47,6.56,5.31,683662,52.5,1.37,8.1,1359,95.41,2992,1.88,22606,0.58,29.03
"India","Parkinson's Disease","Infectious","Senior","Other","Surgery","No",2021,3.69,10.08,8.71,196245,66.3,4.63,2.8,33731,65.38,3425,7.73,38832,0.45,43.19
"UK","Hepatitis","Viral","Senior","Female","Vaccination","Yes",2020,18.51,0.21,4.52,685065,98.57,1.95,8.71,33446,66.16,4203,6.93,8118,0.62,23.16
"USA","Cholera","Bacterial","Young Adult","Other","Medication","Yes",2020,14.72,5.98,0.23,658351,51.12,3.14,4.14,29735,63.33,4099,4.26,52775,0.46,23.49
"USA","Malaria","Genetic","Child","Male","Vaccination","Yes",2020,2.42,12.49,8.75,28354,52.88,4.52,2.69,12018,62.87,2792,8.88,81829,0.47,37.51
"Russia","Dengue","Chronic","Child","Other","Therapy","No",2021,15.92,0.44,0.83,977005,52.72,1.09,5.88,7049,81.48,3129,8.32,5923,0.7,85.52
"Argentina","Measles","Parasitic","Young Adult","Male","Surgery","Yes",2020,4.99,1.18,4.97,19585,51.6,2.47,8.19,42471,54.36,3605,5.27,74508,0.64,88.22
"Russia","Ebola","Genetic","Senior","Female","Medication","No",2024,0.69,13.11,2.91,58960,88.51,1.22,8.31,29263,51.85,3145,5.91,98980,0.67,69.31
"UK","Cholera","Parasitic","Adult","Other","Medication","Yes",2022,11.16,13.6,3,377659,71.17,2.39,7.67,16018.82,68.06,3196,0.44,24328,0.52,66.82
"Russia","COVID-19","Neurological","Senior","Other","Surgery","Yes",2022,18.95,14.69,0.25,497413,87.34,3.94,5.48,37219,75.21,2457,8.61,58951,0.68,71.04
"USA","Asthma","Chronic","Adult","Other","Therapy","No",2022,7.3,1.96,5.16,34527,75.35,3.28,8.98,40324,66,627,3.42,83102,0.46,21.31
"UK","Alzheimer's Disease","Bacterial","Senior","Other","Surgery","Yes",2021,1.2,3.64,4.97,702226,97.96,2.92,7.15,7007,88.26,265,3.04,29319,0.64,26.11
"UK","Hypertension","Cardiovascular","Adult","Male","Medication","No",2023,3.81,0.99,3.11,105484,87.04,4.36,1,8492,66.81,143,0.81,5557,0.51,35.14
"UK","Parkinson's Disease","Cardiovascular","Young Adult","Male","Surgery","No",2020,12.41,5.05,8.72,426645,66.2,2.83,6.41,21605,66.25,4699,8.61,3704,0.69,23.51
"Russia","Leprosy","Bacterial","Child","Other","Surgery","No",2021,5.7,9.31,3.95,878652,57.31,4.31,8.67,6927,77.47,21,7.05,35874,0.64,62.2
"USA","Measles","Respiratory","Adult","Female","Medication","Yes",2024,11.04,12.83,9.41,958088,95.75,1.87,4.73,23977,90.89,4296,6.67,32660,0.59,22.07
"South Africa","Polio","Bacterial","Young Adult","Female","Medication","No",2022,0.95,3.09,7,955080,84.42,1.34,5.5,20468,98.05,3615,2.98,35114,0.57,49.78
"Nigeria","Polio","Metabolic","Senior","Other","Surgery","No",2023,9.55,4.44,9.24,242987,52.66,2.08,4.09,7309,89.14,2124,7.07,58360,0.63,62.8
"Nigeria","Diabetes","Respiratory","Adult","Female","Therapy","Yes",2020,2.78,12.78,0.13,2271,78.15,1.71,7.94,12706,82.24,4253,9.5,3470,0.9,50.77
"Argentina","HIV/AIDS","Infectious","Adult","Other","Therapy","Yes",2024,9.66,11.59,7.89,714122,57.75,2.81,0.87,43284,70.93,4942,7,15207,0.8,44.71
"China","Malaria","Infectious","Adult","Male","Medication","No",2020,12.45,12.01,9.11,531199,75.4,2.68,4.75,6921,58.03,1035,9.53,33732,0.82,31.47
"Argentina","Hepatitis","Parasitic","Senior","Male","Vaccination","Yes",2021,16.55,9.58,2.34,461823,84.82,1.94,9.09,12271,82.91,2834,8.51,585,0.45,79.71
"Argentina","Cholera","Autoimmune","Young Adult","Female","Vaccination","Yes",2020,16.96,8.56,4.74,21169,98.58,3.57,1.04,38212,57.76,2726,2.14,35304,0.44,54.2
"UK","Alzheimer's Disease","Cardiovascular","Child","Other","Vaccination","No",2024,8.84,14.55,1.24,198203,84.33,1.68,2.96,27082,62.23,58,9.82,21604,0.65,20.33
"South Africa","Influenza","Viral","Child","Other","Surgery","No",2023,17.67,5.92,5.98,998246,79.59,1.26,6.1,48044,79.77,2325,1.45,24387,0.57,38.48
"China","Asthma","Respiratory","Child","Female","Vaccination","No",2021,16.76,6.35,5.23,663128,61.55,3.94,3.7,32166,58.59,4924,6.27,54724,0.88,78.35
"UK","Tuberculosis","Infectious","Child","Other","Medication","No",2020,2.37,5.02,5.42,338335,79.79,2.08,9.47,36850,90.1,813,2.94,42687,0.82,57.72
"Nigeria","Ebola","Metabolic","Senior","Female","Medication","No",2021,19.17,10.98,3.6,635539,66.9,3.28,1.83,36169,89.86,4442,6.3,64057,0.64,55.84
"Nigeria","Tuberculosis","Viral","Senior","Male","Therapy","Yes",2020,1.9,6.46,4.66,621930,88.6,3.13,1.96,45458,85.06,1985,5.58,82988,0.52,51.6
"UK","HIV/AIDS","Genetic","Senior","Female","Vaccination","No",2021,14.27,11.09,5.33,543940,73.92,2.51,2.66,47709,69.13,266,2.03,69022,0.84,79.85
"Argentina","Zika","Autoimmune","Senior","Female","Medication","No",2024,0.79,3.76,1.76,834292,74.14,0.8,2.87,23281,81.48,617,9.23,70855,0.87,66.89
"India","Zika","Genetic","Senior","Male","Surgery","Yes",2024,16.13,10.78,2.27,704420,88.72,1.47,4.96,28819,53.51,2534,1.88,85025,0.46,89.94
"China","Cancer","Chronic","Adult","Other","Surgery","Yes",2020,1.54,11.09,8.23,285682,53.21,2.44,6.33,10508,81.52,116,3.98,43566,0.7,29.16
"UK","Asthma","Respiratory","Adult","Female","Surgery","Yes",2022,15.32,11.41,5.02,726389,94.64,2.19,5.12,37252,51.7,440,1.14,95442,0.79,20.14
"South Africa","Hypertension","Genetic","Senior","Male","Medication","Yes",2024,17.02,5.26,4.74,338646,53.27,4.9,3.46,32334,87.21,4779,6.26,91490,0.89,77.98
"South Africa","Hypertension","Respiratory","Child","Female","Medication","Yes",2023,0.65,14.95,9.94,881526,73.32,3.38,6.22,36412,61.54,4712,9.66,72970,0.56,53.7
"South Africa","Leprosy","Respiratory","Adult","Male","Therapy","No",2021,14.72,0.81,0.26,584003,74.83,1.25,2.18,37665,73.62,3521,5.97,50728,0.54,31.18
"India","Hepatitis","Autoimmune","Adult","Male","Surgery","No",2021,6.38,11.99,2.22,954776,69.3,2.72,5.08,33653,79.87,3074,2.11,95696,0.66,82.82
"South Africa","Hepatitis","Cardiovascular","Young Adult","Female","Surgery","No",2021,14.92,10,6.36,267166,65.84,2.28,1.14,45280,82.98,4888,5.26,17489,0.68,69.93
"Nigeria","Diabetes","Infectious","Young Adult","Other","Therapy","Yes",2022,8.16,1.19,9.35,486548,87.85,3.53,0.5,19198,61.69,3028,4.49,63085,0.58,67.9
"Argentina","Cholera","Autoimmune","Adult","Male","Medication","No",2023,13.05,6.63,3.25,792784,90.16,4.14,4.14,27920,58.35,3234,3.88,32685,0.45,62.62
"South Africa","Hypertension","Viral","Adult","Male","Vaccination","Yes",2022,8.56,12.11,5.57,617602,69,3.23,5.72,33373,82.08,1268,9.06,12960,0.67,41.42
"UK","Rabies","Parasitic","Young Adult","Other","Therapy","Yes",2021,16.9,7.48,2.89,608214,66.16,1.19,8.04,42571,68.11,4476,6.45,61573,0.73,86.36
"Argentina","Polio","Respiratory","Child","Female","Medication","Yes",2022,14.69,10.69,3.96,184412,74.14,3.4,9.05,7197,85.4,597,6.94,79779,0.73,53.83
"China","Polio","Cardiovascular","Senior","Other","Medication","No",2022,11.64,14.75,2.51,424207,90.57,4.97,5.58,22368,65.81,4809,3.04,81453,0.66,82.38
"UK","Cancer","Genetic","Senior","Other","Vaccination","Yes",2023,18.4,14.4,8,625514,93.75,4.39,4.84,25351,93.22,3495,3.98,61870,0.69,43.22
"USA","Hepatitis","Viral","Adult","Male","Medication","No",2022,5.57,0.65,8.5,322995,96.84,3.85,4.13,23855,78.44,2906,5.2,2727,0.73,42.45
"Nigeria","Ebola","Bacterial","Child","Female","Surgery","Yes",2022,5.43,12.92,3.44,249177,93.47,1.65,5.57,31205,54.43,3155,0.67,5578,0.77,55.12
"USA","Rabies","Chronic","Child","Female","Medication","No",2021,4.08,14.17,4.95,714885,68.19,1.58,2.93,26676,97.34,4166,6.74,27478,0.66,23.62
"India","HIV/AIDS","Cardiovascular","Young Adult","Female","Surgery","Yes",2022,0.25,12.32,1.35,870607,99.54,2.85,1.66,29373,73.75,2332,3.96,31165,0.42,67.32
"USA","Leprosy","Chronic","Child","Female","Therapy","No",2024,8.14,6.43,4.95,297323,77.33,2.13,1.6,3431,52.34,4565,7.35,12389,0.52,45.31
"South Africa","Diabetes","Genetic","Young Adult","Female","Surgery","No",2020,9.85,4.17,7.64,559765,56.68,3.81,2.82,7184,58.26,1314,3.06,35574,0.82,51.04
"UK","Parkinson's Disease","Metabolic","Senior","Female","Medication","Yes",2024,7.67,5.79,6.44,461325,91.83,3.49,0.88,11721,92.29,1788,5.69,94300,0.88,89.64
"Russia","HIV/AIDS","Autoimmune","Young Adult","Male","Vaccination","Yes",2024,18.3,12.81,0.25,561511,92.98,0.59,2.97,22561,83.55,2495,1.23,77954,0.71,77.15
"China","Diabetes","Chronic","Young Adult","Female","Medication","Yes",2024,7.4,1.38,6.56,57537,63.22,3.98,4.15,20147,62.63,1336,3.48,29598,0.5,77.34
"Russia","COVID-19","Parasitic","Adult","Female","Therapy","No",2024,0.68,0.92,7.55,287678,63.81,1.12,2.64,45887,53.05,1920,3.95,36113,0.58,65.63
"Argentina","Tuberculosis","Autoimmune","Senior","Other","Therapy","No",2022,1.59,6.28,4.85,266220,83.63,4.33,9.3,12060.25,97.77,1834,5.91,76448,0.45,45.23
"India","Ebola","Metabolic","Adult","Female","Therapy","No",2020,17.54,13.65,5.25,690851,88.83,0.82,9.48,28979,91.27,1891,9.84,24420,0.64,56.53
"Nigeria","Polio","Infectious","Senior","Other","Surgery","Yes",2024,8.75,5.44,2.42,718905,78.36,2.55,1.42,35439,64.34,1203,7.14,84891,0.68,26.6
"USA","Parkinson's Disease","Infectious","Child","Male","Medication","No",2022,0.47,10.75,7.53,912491,83.26,4.97,3.65,43896,73.35,444,8.03,29199,0.87,50.26
"China","Asthma","Genetic","Child","Female","Surgery","No",2021,0.94,9.13,4.54,69089,56.85,2.92,3.66,46510,62.79,3762,1.05,33694,0.48,69.67
"Nigeria","Diabetes","Respiratory","Adult","Other","Medication","Yes",2020,7.95,4.99,9.78,34356,83.77,1.79,1.66,29310,68.24,4232,1.81,92494,0.52,78.16
"South Africa","Polio","Viral","Senior","Female","Medication","Yes",2021,6.68,3.26,8.15,160942,75.02,2.66,0.57,34232,76.26,4010,6.18,3908,0.41,74.6
"Argentina","Malaria","Respiratory","Child","Other","Surgery","Yes",2020,6.75,0.91,4.88,885865,83.79,1.12,0.51,329,77.39,147,4.96,55392,0.82,75.21
"Nigeria","Asthma","Chronic","Young Adult","Other","Vaccination","Yes",2022,16.3,8.55,8.3,526862,78.52,3.57,7.06,16899,89.26,4893,5.94,16437,0.69,22.31
"Nigeria","Hepatitis","Viral","Adult","Female","Medication","No",2023,7.3,4.96,5.52,28818,74.45,0.61,0.96,17182,98.27,1316,1.74,3850,0.48,77.7
"Nigeria","Tuberculosis","Neurological","Young Adult","Female","Therapy","Yes",2023,7.57,1.34,3.86,990066,71.38,0.83,9.43,3125,81.64,670,9.66,55095,0.57,55.49
"India","Ebola","Autoimmune","Adult","Male","Vaccination","No",2023,9.74,10.58,1.07,81406,76.14,2,8.14,21904,86.11,3146,1.67,2027,0.63,70.43
"India","Measles","Metabolic","Adult","Female","Surgery","Yes",2023,5.95,14.57,9.6,737384,63.57,0.5,3.92,386,96.46,3430,2.79,76571,0.81,47.24
"UK","Hypertension","Neurological","Young Adult","Other","Surgery","No",2022,7.71,7.59,2.29,379098,76.95,0.95,5.17,34395,88.53,3138,8.98,71249,0.75,32.23
"Russia","Asthma","Autoimmune","Young Adult","Female","Therapy","No",2021,8.09,5.92,7.26,930155,56.02,3.43,4.63,8916,58.02,1636,2.94,13829,0.59,47.83
"India","Malaria","Parasitic","Child","Other","Surgery","No",2022,13.18,14.61,9.75,569776,90.03,4.57,6.4,27008,67.7,3045,3.99,35796,0.72,85.02
"Nigeria","Alzheimer's Disease","Bacterial","Adult","Female","Vaccination","No",2021,13.54,9.96,0.15,220552,68.15,1.76,5.51,22450,68.2,487,4.39,92242,0.72,55.39
"USA","Hepatitis","Bacterial","Senior","Other","Medication","No",2022,0.6,13.25,8.27,875191,99.43,2.26,6.59,44255,96.73,4237,7.89,95055,0.51,50.2
"USA","Dengue","Parasitic","Young Adult","Other","Medication","No",2020,17.28,14.65,1.65,974403,88.31,0.77,5.06,32074,54.3,4801,9.58,80373,0.67,75.01
"Russia","COVID-19","Neurological","Senior","Female","Surgery","No",2024,11.15,10.07,5.26,332008,61.24,3.44,4.67,23335,94.42,2917,5.52,95086,0.71,47.63
"UK","Cancer","Neurological","Senior","Male","Therapy","No",2024,16.82,11.06,7.49,793289,57.85,4.2,0.81,42418,80.32,2152,7.71,99238,0.42,44.4
"South Africa","HIV/AIDS","Parasitic","Adult","Female","Vaccination","Yes",2023,6.86,7.12,8.19,491525,60.57,4.1,9.6,27436,54.4,1209,5.18,42139,NA,29.6
"UK","Influenza","Cardiovascular","Young Adult","Other","Surgery","No",2024,17.9,4.6,0.31,456060,54.33,4.71,9.81,22755,75.07,895,1.36,92807,0.55,31.74
"Argentina","Dengue","Chronic","Adult","Other","Therapy","No",2020,17.58,5.39,7.95,42625,51.87,4.65,1.51,3354,67.53,4175,4.11,93699,0.86,33.45
"China","Leprosy","Respiratory","Senior","Male","Surgery","Yes",2024,3.74,11.62,2.34,965599,93.76,3.84,4.7,35047,94.96,954,2.01,89076,0.83,61.33
"South Africa","Alzheimer's Disease","Bacterial","Child","Female","Therapy","Yes",2023,14.54,10.51,7.37,677145,63.03,1.54,7.63,32591,88.83,4804,8.16,27422,0.61,40.89
"USA","Malaria","Autoimmune","Child","Other","Medication","Yes",2022,12.39,9.99,3.98,196424,92.39,1.36,8.98,34297,50.11,1300,8.16,13368,0.76,78.25
"Russia","Zika","Neurological","Adult","Female","Medication","No",2022,11.61,3.61,6.37,756524,72.36,4.99,6.99,16294,71.32,3043,7.95,89519,0.63,77.45
"China","Hepatitis","Genetic","Child","Male","Therapy","Yes",2022,16.01,8.14,9.73,984490,86.54,3.04,6.02,31551,75.45,4403,6.45,45484,0.53,38.48
"USA","Malaria","Cardiovascular","Young Adult","Other","Surgery","Yes",2021,4.94,13.68,7.05,217220,90.6,4.91,2.16,16355,71.01,855,2.39,22743,0.73,25.65
"UK","Measles","Neurological","Child","Other","Vaccination","No",2024,0.11,5.31,8.35,554852,68.01,2.09,2.7,33284,66.41,1120,7.94,39025,0.86,66.21
"South Africa","Malaria","Genetic","Adult","Male","Vaccination","No",2024,12.12,11.3,9.62,35485,96.59,0.53,5.88,1,79.61,687,9.63,3420,0.67,29.29
"India","Diabetes","Autoimmune","Young Adult","Male","Medication","No",2020,6.27,13.87,0.13,224244,78.6,4.47,3.74,35623,61.84,1765,6.7,35195,0.62,44.6
"Russia","HIV/AIDS","Genetic","Adult","Male","Medication","Yes",2024,15.51,11.93,9.12,387789,70.06,3.18,2.66,31282,95.77,2503,9.92,90538,0.58,42.52
"Argentina","Tuberculosis","Viral","Senior","Female","Therapy","No",2020,6.99,5.07,0.37,495714,91.87,0.78,2.14,32751,68.44,2216,6.33,24004,0.47,88.51
"Nigeria","Measles","Parasitic","Young Adult","Male","Surgery","No",2023,15.03,9.64,9.58,525271,83.55,3.3,3.49,19779,60.72,1209,3.45,97259,0.78,28.35
"UK","Zika","Chronic","Adult","Other","Therapy","Yes",2024,4.64,8.46,3.45,547119,65.51,2.62,2.62,40713,74.1,625,8.74,8440,0.63,24.09
"Russia","Tuberculosis","Metabolic","Adult","Male","Surgery","No",2022,16.95,3.93,2.81,651959,70.43,2.07,6.6,21793,72.41,1789,2.03,15138,0.57,73.14
"Russia","Alzheimer's Disease","Bacterial","Child","Female","Therapy","Yes",2024,7.67,10.24,3.48,353811,77.11,1.6,3.75,22812,61.11,1374,6.58,19593,0.71,68.7
"Nigeria","Dengue","Parasitic","Senior","Female","Vaccination","Yes",2022,15.07,6.57,1.34,664486,79.28,4.59,3.58,8881,79.95,937,0.13,39716,0.41,77.48
"Nigeria","Tuberculosis","Infectious","Adult","Male","Surgery","No",2024,8.82,12.18,0.43,884008,74.16,1.75,9.85,7433,62.18,261,3.54,45816,0.49,85.35
"Nigeria","Rabies","Chronic","Child","Male","Medication","Yes",2021,13.2,13.25,6.99,204089,73.94,3.56,2.74,31684,50.88,4890,0.89,68195,0.69,88.31
"Nigeria","Tuberculosis","Cardiovascular","Senior","Other","Medication","No",2022,19.95,10.18,7,121457,56.69,3.2,7.38,28197,56.08,1470,5.73,8852,0.63,81.98
"South Africa","Hepatitis","Respiratory","Child","Male","Therapy","No",2020,5.06,3.49,9.27,415288,99.92,3.2,3.78,24196,64.49,4801,5.16,93662,0.46,65.88
"South Africa","Dengue","Chronic","Adult","Male","Vaccination","Yes",2024,4.52,2.05,9,951659,70.38,0.78,4.91,21920,55.67,3759,9.13,13990,0.66,54.15
"UK","Alzheimer's Disease","Viral","Adult","Female","Therapy","No",2021,2.71,0.79,1.19,205725,56.03,4.36,3.33,41945,82.35,387,5.9,24406,0.53,41.64
"USA","Dengue","Genetic","Adult","Male","Vaccination","No",2023,13.14,1.55,5.78,949264,77.11,3.59,5.19,28084,92.82,333,2.13,70217,0.76,69.82
"Argentina","HIV/AIDS","Neurological","Adult","Female","Medication","No",2024,4.26,10.13,9.2,878902,98.72,2.35,1.03,14010,82.09,4481,6.72,38416,0.65,55.93
"Nigeria","Asthma","Metabolic","Adult","Female","Surgery","Yes",2022,9.3,1.28,2.21,455844,92.63,3.65,1.95,4107,84.47,3587,5.1,71274,0.65,70.35
"India","Measles","Bacterial","Child","Male","Therapy","Yes",2022,1.04,10.26,5.41,161926,63.6,4.44,3.16,20223,97.13,857,6.33,66776,0.75,55.26
"UK","Measles","Bacterial","Senior","Female","Surgery","No",2021,7.8,12.26,1.39,640933,74.91,3.07,6.04,42388,52.91,2749,1,95594,0.4,55.59
"South Africa","COVID-19","Neurological","Adult","Female","Vaccination","Yes",2021,0.63,14.02,6.92,315695,82.88,3.36,6.78,38724,86.77,491,4.62,64114,0.42,49.83
"South Africa","Zika","Parasitic","Young Adult","Male","Vaccination","No",2022,6.4,6.77,2.46,115861,88.95,1.38,1.51,41166,84.25,2398,6.37,44270,0.65,38.29
"Nigeria","Alzheimer's Disease","Neurological","Adult","Other","Therapy","Yes",2022,2.01,10.89,5.66,754595,87.81,0.63,2.48,38256,70.51,950,5.96,24487,0.68,25.87
"Argentina","Leprosy","Respiratory","Adult","Female","Vaccination","No",2021,11.65,2.07,0.44,229910,69.71,3.01,6.75,42897,55.16,4024,7.28,71249,0.71,35.39
"India","Leprosy","Infectious","Young Adult","Female","Surgery","Yes",2022,12.9,12.81,0.49,923545,95.78,0.79,3.87,27840,87.5,2932,1.18,85006,0.9,38.28
"China","Tuberculosis","Neurological","Adult","Other","Surgery","No",2020,4.35,14.27,2.39,895600,63.2,2.86,9.52,41117,79.91,2634,6.44,5932,0.42,38.36
"Russia","Tuberculosis","Viral","Child","Male","Therapy","No",2023,17.41,5.48,7.72,805518,79.68,2,4.68,27961,90.15,3563,2.81,60616,0.51,49.62
"South Africa","Hypertension","Chronic","Young Adult","Female","Vaccination","No",2024,18.01,0.26,5.89,111939,68.55,0.85,9.66,17430,75.28,2400,0.1,73561,0.88,22.91
"Russia","HIV/AIDS","Cardiovascular","Senior","Male","Medication","Yes",2024,10.23,5.94,9.92,445121,71.58,1.02,6.51,27328,71.73,1552,9.23,65628,0.69,88.84
"India","Cholera","Metabolic","Young Adult","Other","Medication","Yes",2024,2.17,1.97,4.93,989332,79.91,1.74,4.43,5193,75.05,55,0.69,86505,0.67,46.71
"South Africa","Cholera","Metabolic","Senior","Male","Medication","Yes",2020,7.88,12.96,3.94,177019,73.35,2.64,7.7,33714,55.33,4115,4.63,89035,0.55,73.87
"USA","Dengue","Metabolic","Young Adult","Male","Medication","Yes",2024,12.34,2.61,3.75,811871,51.02,1.29,3.06,13528,65.36,1898,5.62,33252,0.6,47.82
"USA","Leprosy","Respiratory","Child","Male","Medication","Yes",2022,6.35,7.08,2.75,419449,86.91,1.6,6.57,30347,65.91,191,8.81,64725,0.7,60.65
"South Africa","Diabetes","Metabolic","Senior","Other","Therapy","Yes",2024,8.05,3.65,0.84,608274,60.19,3.99,8.88,13152,54.63,4327,1.36,23114,0.51,88.03
"Russia","Zika","Cardiovascular","Adult","Other","Medication","Yes",2024,18.57,4.39,5.21,405319,59.54,3.13,7.73,34278,80.93,1231,2.81,42097,0.47,44.29
"India","Influenza","Infectious","Adult","Female","Medication","Yes",2021,6.38,1.56,7.5,472140,96.99,4.42,3.96,47589,67.96,4138,7.97,75970,0.58,58.92
"China","Measles","Cardiovascular","Senior","Other","Surgery","Yes",2021,10.33,11.06,1.53,585015,97.31,2.24,4.66,20141,89.07,4058,1.11,83588,0.61,63.97
"Argentina","Hypertension","Cardiovascular","Adult","Female","Medication","Yes",2023,1.08,10.13,0.22,416863,69.27,1.97,2.45,47487,83.42,4513,1.41,1539,0.47,69.03
"India","Dengue","Bacterial","Young Adult","Other","Vaccination","Yes",2023,0.71,6.54,5.12,881239,76.45,1.28,3.57,46090,80.19,1622,6.8,96994,0.77,37.89
"South Africa","Alzheimer's Disease","Cardiovascular","Child","Male","Vaccination","Yes",2023,7.64,7.6,0.3,154940,66.33,4.95,8.16,36056,54.29,4974,9.98,89180,0.78,42.89
"Russia","Cholera","Metabolic","Adult","Other","Vaccination","Yes",2023,18.13,2.05,2.28,885167,78.95,3.76,8.49,101,71.23,3358,7.57,49969,0.71,20.19
"India","HIV/AIDS","Chronic","Child","Male","Surgery","Yes",2024,15.46,4.33,5.37,210502,79.62,4.08,5.83,29100,70.32,466,3.2,77742,0.83,29.89
"USA","Ebola","Cardiovascular","Senior","Female","Surgery","Yes",2022,4.15,3.44,9.5,381221,50.24,1.17,4.58,49196,83.23,1690,6.58,96507,0.75,89.81
"Nigeria","Malaria","Metabolic","Adult","Other","Therapy","No",2022,12.74,1.89,3.29,791310,64.41,1.89,9.54,4133,67.61,208,6.26,59433,0.51,20.28
"USA","Rabies","Autoimmune","Adult","Female","Medication","Yes",2023,7.44,11.33,2.61,692186,96.45,3.71,4.5,30226,78.88,665,8.87,17551,0.73,40.7
"India","Asthma","Viral","Senior","Other","Medication","No",2023,0.41,12.33,1.45,171184,90.35,1.5,7.99,44971,82.29,1608,3.51,93607,0.79,54.13
"Argentina","Measles","Cardiovascular","Child","Female","Vaccination","Yes",2023,16.06,11.51,7.5,705086,74.14,4.97,6.4,48359,50.92,1073,6.99,32058,0.82,62.54
"South Africa","Diabetes","Cardiovascular","Adult","Other","Therapy","Yes",2021,0.83,2.09,9.98,203976,75.02,2.13,1.69,40864,80.27,405,5.8,84919,0.74,86.24
"UK","Leprosy","Chronic","Senior","Other","Medication","No",2020,2.85,3.86,6.25,321000,61.78,1.42,4.07,26210,57.29,3477,5.12,79204,0.83,33.12
"Argentina","Asthma","Genetic","Senior","Other","Medication","Yes",2024,3.78,1.74,6.59,233050,84.5,2.02,4.17,4183,79.63,4946,2.49,65949,0.77,28.44
"Nigeria","Rabies","Respiratory","Young Adult","Female","Medication","No",2020,17.91,3.2,6.4,217066,63.81,0.72,1.22,NA,98.69,4637,3.2,84746,0.86,31.31
"Nigeria","Tuberculosis","Parasitic","Adult","Other","Vaccination","No",2023,3.73,2.95,6.89,616176,63.76,3.97,7.75,23168,74.6,2814,1.77,13667,0.59,86.67
