Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
USA,2022,Hepatitis,Genetic,3.15,4.32,4.8,61+,Female,800932,,0.67,9.1,Surgery,48156.0,,95.69,2926,4.98,54107.0,0.77,26.07
Russia,2021,Measles,Cardiovascular,15.17,14.95,6.6,19-35,Male,424184,89.24,0.84,5.43,Medication,9426.0,No,60.33,2070,1.4,96247.0,0.42,24.5
USA,2022,Cholera,,10.6,11.17,9.52,19-35,Male,646998,62.53,3.66,8.38,Surgery,32298.0,No,51.94,4899,1.93,67495.0,0.64,73.74
Argentina,2021,Tuberculosis,Respiratory,7.15,2.4,0.83,61+,Male,790393,87.23,0.5,4.46,Surgery,252280.8764863828,No,83.92,1926,9.28,42891.0,0.67,68.66
Nigeria,2021,Parkinson's Disease,Respiratory,8.68,2.87,3.05,19-35,Male,267063,53.3,4.98,3.03,Vaccination,24375.0,Yes,53.45,148,0.17,21482.0,0.84,23.9
India,2022,COVID-19,Viral,18.5,10.69,7.73,0-18,Male,267020,54.32,0.96,2.34,Vaccination,27447.0,Yes,69.61,2739,1.41,29765.0,0.81,67.82
Nigeria,2023,Hepatitis,Autoimmune,9.62,11.55,3.48,19-35,Male,984586,54.69,0.82,3.84,Surgery,17144.0,Yes,96.48,3807,5.21,87615.0,0.81,82.56
India,2022,Measles,Cardiovascular,15.22,6.82,9.79,19-35,Other,738811,83.3,1.3,6.99,Medication,1666.0,Yes,71.16,1438,9.38,14447.0,0.5,54.35
UK,2022,Rabies,Neurological,10.5,3.79,3.22,19-35,Other,20411,90.47,1.78,4.79,Medication,15792.0,Yes,95.34,4934,6.81,35277.0,0.66,43.49
UK,2021,Cancer,Autoimmune,6.71,12.38,4.8,36-60,Female,988857,75.41,3.58,6.25,Surgery,1819.0,No,92.34,4934,0.41,2112.0,0.77,24.22
UK,2024,Hepatitis,Genetic,,11.49,7.76,36-60,Male,142995,60.57,1.77,7.23,Surgery,24655.0,Yes,81.6,4317,7.09,82627.0,0.53,77.14
Argentina,2022,Polio,,0.93,5.29,1.86,19-35,Female,991026,72.55,1.94,4.89,Medication,25097.0,No,69.0,4251,4.71,65864.0,0.62,28.28
UK,2023,Cholera,Bacterial,7.84,8.56,6.97,61+,Male,395853,73.87,2.77,2.6,Vaccination,,Yes,75.85,4149,8.44,51229.0,0.64,40.78
Nigeria,2024,Tuberculosis,Bacterial,17.74,9.95,7.88,36-60,Female,391183,95.62,2.39,7.95,Medication,4582.0,No,54.32,4386,9.43,32764.0,0.67,60.88
South Africa,2024,HIV/AIDS,Cardiovascular,4.81,1.49,4.26,61+,Male,438268,,1.65,6.39,Surgery,1705.0,No,95.19,2667,8.91,4128.0,0.68,40.63
Russia,2024,Dengue,Autoimmune,11.7,11.2,2.66,0-18,Other,639703,68.56,1.67,1.25,Surgery,31276.0,No,66.14,1815,3.59,48541.0,0.82,68.77
Argentina,2020,Diabetes,Parasitic,9.33,8.16,9.0,19-35,Male,438049,71.07,2.66,5.08,Medication,23953.0,Yes,81.52,2485,9.6,28108.0,0.78,44.91
South Africa,2022,Cancer,Viral,14.04,4.44,7.75,36-60,Male,222726,66.89,2.46,4.31,Therapy,33778.0,No,55.01,3602,5.37,63774.0,0.84,28.21
USA,2024,Measles,Viral,4.5,0.38,9.67,0-18,Other,647117,89.82,1.27,5.41,Surgery,33902.0,No,63.68,3776,2.65,77802.0,0.45,45.5
UK,2022,Leprosy,Metabolic,8.27,9.95,4.51,61+,Other,556807,82.96,3.46,6.53,Vaccination,44233.0,Yes,71.72,1063,2.47,9054.0,0.41,65.67
Nigeria,2020,Alzheimer's Disease,Chronic,19.48,9.15,7.29,0-18,Other,518240,64.51,3.83,9.01,Medication,23647.0,No,66.9,1586,7.57,47325.0,0.6,63.66
Nigeria,2022,Parkinson's Disease,Respiratory,2.39,2.37,1.5,61+,Other,839757,70.72,2.86,9.1,Vaccination,45053.0,Yes,56.67,3495,3.72,22850.0,0.89,51.43
China,2020,Dengue,Bacterial,1.32,8.46,0.27,0-18,Female,919356,94.64,2.86,5.23,Medication,16007.0,Yes,59.17,2316,4.28,12825.0,0.62,76.81
South Africa,2021,Cancer,Respiratory,15.56,11.73,9.49,61+,Other,444514,95.58,4.42,5.31,Vaccination,26734.0,Yes,91.96,4700,4.38,88971.0,0.61,85.77
Argentina,2020,COVID-19,Chronic,13.6,0.14,2.84,0-18,Male,696161,97.63,2.55,4.44,Vaccination,24950.0,No,63.83,3724,6.52,69753.0,0.62,82.56
Argentina,2020,Influenza,Genetic,16.04,0.4,9.12,61+,Other,718937,54.57,1.84,3.24,Medication,37372.0,Yes,84.75,3314,0.22,71199.0,0.57,34.01
China,2023,Malaria,Metabolic,1.41,11.26,2.7,0-18,Female,963732,81.63,3.37,7.14,Surgery,22204.0,Yes,97.71,4521,7.01,10407.0,0.79,69.36
India,2021,Hepatitis,Viral,5.62,11.28,5.27,61+,Male,817420,52.45,4.39,8.53,Surgery,9371.0,No,84.53,3595,1.88,85806.0,0.65,49.95
Nigeria,2024,Tuberculosis,Neurological,12.08,9.16,1.1,19-35,Female,897810,79.52,3.28,4.37,Vaccination,30888.0,Yes,74.26,4675,7.65,19895.0,0.58,42.18
UK,2023,Cholera,Parasitic,6.49,7.5,2.4,0-18,Female,769198,56.66,3.4,4.97,Medication,16729.0,No,84.31,1161,1.97,62214.0,0.41,85.96
USA,2020,Malaria,Genetic,8.9,6.61,2.46,36-60,Female,430558,91.19,4.16,6.6,Therapy,,No,57.74,55,7.28,66317.0,0.43,50.1
China,2023,Diabetes,Metabolic,5.18,12.58,8.22,0-18,Other,358786,87.22,3.04,2.9,Surgery,6183.0,No,94.06,2352,4.35,88263.0,0.55,74.75
China,2022,Leprosy,Chronic,2.91,8.33,6.71,36-60,Male,645764,51.39,3.77,5.48,Surgery,30642.0,No,92.21,1838,3.8,88219.0,0.44,53.07
Argentina,2024,Measles,Chronic,3.34,5.92,3.28,19-35,Female,3250,59.31,4.12,1.5,Surgery,48425.0,Yes,98.84,1921,6.76,14746.0,0.76,69.99
Nigeria,2024,Alzheimer's Disease,Bacterial,15.55,7.37,0.38,0-18,Male,429061,55.84,0.69,7.59,Surgery,34653.0,No,80.19,3889,1.52,20845.0,0.74,24.49
Argentina,2022,Hepatitis,Cardiovascular,,13.94,8.45,36-60,Female,427259,88.58,3.12,2.72,Vaccination,3379.0,Yes,86.74,3473,1.52,93213.0,0.77,70.52
Nigeria,2021,Measles,Bacterial,7.97,1.24,3.01,61+,Female,772341,95.45,2.57,8.82,Surgery,6097.0,No,87.34,1208,6.35,81103.0,0.54,41.86
Russia,2021,Leprosy,Chronic,1.96,8.87,8.06,61+,Male,674202,77.15,4.99,2.56,Therapy,33089.0,Yes,94.72,773,6.53,23949.0,0.71,30.83
Nigeria,2022,Polio,Cardiovascular,9.39,12.38,0.85,0-18,Male,233631,94.08,3.28,4.0,Medication,23826.0,No,78.16,4251,5.79,1901.0,0.86,33.51
South Africa,2020,Hepatitis,Respiratory,5.06,11.17,4.25,36-60,Female,39925,62.91,4.43,3.76,Vaccination,3320.0,No,80.67,4357,7.31,86201.0,0.75,76.31
UK,2020,COVID-19,Respiratory,19.64,10.88,5.8,19-35,Male,5158,61.32,1.0,9.21,Surgery,851.0,No,73.89,2065,8.38,69155.0,0.5,
USA,2020,Tuberculosis,Cardiovascular,2.97,5.48,2.14,0-18,Male,179850,80.73,3.44,7.15,Surgery,26281.0,Yes,53.57,115,7.92,67424.0,0.5,75.72
Argentina,2023,HIV/AIDS,Bacterial,2.79,,3.01,0-18,Male,310743,68.1,2.46,5.08,Medication,8456.0,Yes,53.7,4326,7.69,76679.0,0.74,78.75
Nigeria,2021,Hepatitis,Infectious,8.55,1.31,7.91,61+,Female,952689,64.06,3.5,2.43,Medication,21750.0,Yes,61.08,754,9.28,82145.0,0.52,54.85
USA,2020,Alzheimer's Disease,Respiratory,1.36,0.68,6.59,0-18,Female,236128,67.02,4.54,2.88,Surgery,38079.0,No,50.09,1407,7.62,19153.0,0.43,47.52
India,2022,Asthma,Metabolic,2.46,12.46,7.44,61+,Other,885364,95.82,4.39,7.8,Vaccination,33725.0,Yes,98.47,4161,3.57,83133.0,0.41,64.77
Argentina,2020,HIV/AIDS,Parasitic,7.92,13.29,6.24,19-35,Other,682841,54.98,4.56,8.49,Therapy,33319.0,Yes,70.08,1638,9.63,38112.0,0.68,38.25
USA,2022,Measles,Genetic,6.55,8.93,3.77,0-18,Other,655249,79.56,4.92,1.51,Vaccination,43197.0,Yes,73.83,2523,5.64,87554.0,0.71,54.46
South Africa,2021,COVID-19,Metabolic,13.3,1.77,2.4,36-60,Female,85811,69.54,4.17,1.56,Medication,36828.0,Yes,57.2,1974,5.82,11773.0,0.59,26.54
China,2021,Ebola,Genetic,2.67,12.16,4.85,19-35,Other,452280,75.36,3.96,6.53,Medication,1908.0,No,92.76,2701,2.64,55970.0,0.84,37.35
China,2022,Dengue,Cardiovascular,19.96,12.99,2.49,61+,Male,621181,92.15,0.9,8.35,Medication,13444.0,Yes,92.36,758,9.06,80479.0,0.88,86.4
USA,2022,Malaria,Genetic,14.46,10.41,9.18,19-35,Other,691326,71.5,4.81,8.37,Vaccination,38605.0,Yes,98.44,2539,4.76,31675.0,0.51,40.99
Argentina,2021,Asthma,Parasitic,2.58,13.53,8.25,0-18,Other,203228,93.26,,5.11,Therapy,43950.0,Yes,65.06,3926,2.57,21592.0,0.65,65.38
India,2024,Asthma,Genetic,13.47,6.51,2.93,36-60,Male,6901,61.81,2.22,7.17,Medication,35600.0,No,91.88,1970,9.06,63355.0,0.8,77.94
Nigeria,2022,Rabies,Infectious,13.55,1.25,5.16,36-60,Other,317501,64.09,3.28,4.51,Therapy,16335.0,No,60.61,1773,5.72,85179.0,0.76,49.98
UK,2021,Rabies,Neurological,6.2,7.08,5.65,36-60,Male,372285,59.69,2.01,7.82,Therapy,49869.0,No,95.1,2190,0.05,66415.0,0.74,85.72
Russia,2020,Polio,Respiratory,1.14,12.46,5.65,61+,Female,555901,78.78,3.88,8.23,Therapy,43066.0,No,64.49,199,9.0,59785.0,0.44,60.58
UK,2020,Leprosy,Bacterial,12.61,0.57,9.34,36-60,Male,424609,66.71,2.46,5.54,Vaccination,29924.0,Yes,88.43,3248,1.17,76656.0,0.41,67.32
India,2020,Hypertension,Parasitic,2.12,5.39,1.34,0-18,Male,633366,93.54,2.98,1.16,Vaccination,6655.0,Yes,97.53,4121,4.12,62003.0,0.86,54.71
UK,2020,Ebola,Viral,0.39,14.01,4.22,36-60,Other,210305,87.62,2.08,6.98,Vaccination,15067.0,No,97.65,4108,5.91,36609.0,0.57,43.66
USA,2022,Ebola,Viral,11.4,7.33,4.72,0-18,Female,405082,89.61,1.69,6.82,Vaccination,16926.0,No,73.64,4629,5.63,54749.0,0.86,66.34
UK,2024,Malaria,Cardiovascular,15.33,13.29,9.72,61+,Female,396293,98.1,1.27,5.64,Vaccination,,Yes,81.88,1965,1.66,93112.0,0.77,81.19
South Africa,2022,Leprosy,Viral,1.05,3.45,7.55,19-35,Female,819956,95.25,4.75,3.43,Therapy,25272.0,Yes,55.72,4229,2.63,64357.0,0.66,23.32
UK,2024,Hepatitis,Viral,10.79,11.54,8.25,36-60,Male,524239,65.07,4.11,7.24,Vaccination,15613.0,No,89.11,1135,2.36,47915.0,0.82,30.11
India,2022,Dengue,Neurological,7.96,14.24,7.91,61+,Female,989497,81.11,2.21,4.61,Medication,39396.0,No,64.57,2849,5.32,54336.0,0.76,75.47
China,2021,Cancer,Infectious,19.03,7.06,7.55,61+,Other,841281,74.25,3.69,4.63,Medication,14899.0,Yes,65.78,3402,6.43,42529.0,0.45,22.01
Nigeria,2024,Measles,Infectious,,12.96,6.98,61+,Male,126749,77.34,3.67,7.68,Medication,24919.0,No,57.79,3774,5.21,25134.0,0.56,69.33
India,2023,Zika,,12.0,5.55,8.67,0-18,Other,412921,54.59,4.66,9.55,Vaccination,10814.0,No,69.23,1047,8.45,20272.0,0.7,78.34
Russia,2024,Alzheimer's Disease,Parasitic,10.18,5.02,5.69,19-35,Female,940592,87.51,2.16,8.07,Surgery,1551.0,Yes,95.96,1333,3.72,52673.0,0.6,51.6
UK,2024,Alzheimer's Disease,Neurological,14.27,13.95,,36-60,Female,953317,77.91,4.44,5.8,Therapy,5929.0,Yes,90.56,1650,3.04,52135.0,0.76,41.89
South Africa,2020,Malaria,,16.1,13.78,0.47,0-18,Female,241553,94.43,4.27,9.19,Vaccination,7995.0,Yes,62.33,2891,3.43,26028.0,0.69,21.22
Argentina,2022,Polio,Parasitic,18.04,0.63,9.92,61+,Male,517422,55.77,1.13,5.6,Therapy,10597.0,No,57.73,3277,9.61,69771.0,0.52,57.05
USA,2021,Malaria,Cardiovascular,6.09,1.6,1.03,19-35,Other,849994,75.85,2.12,6.14,Vaccination,4040.0,Yes,66.86,3282,2.16,4501.0,0.8,22.03
India,2020,Tuberculosis,Viral,11.36,2.64,6.69,0-18,Male,464824,98.7,2.94,5.59,Medication,36122.0,Yes,64.25,4372,8.39,26110.0,0.43,84.37
China,2023,Rabies,Autoimmune,11.34,1.65,4.94,0-18,Other,304978,69.23,2.3,5.32,Therapy,19455.0,Yes,50.24,4474,9.29,33017.0,0.77,68.58
South Africa,2023,Diabetes,Respiratory,0.86,,4.78,61+,Male,727976,87.09,4.03,2.97,Medication,9966.0,Yes,80.22,859,4.49,49505.0,0.61,33.6
UK,2022,Cholera,Respiratory,9.01,6.55,9.95,36-60,Other,248578,77.34,0.76,8.86,Therapy,40990.0,Yes,57.59,2749,3.45,98338.0,0.46,27.39
Argentina,2020,Polio,Viral,15.93,8.92,7.39,61+,Female,867279,91.85,0.58,9.67,Medication,28468.0,Yes,76.89,4045,9.13,80762.0,0.53,41.18
Russia,2023,Zika,Metabolic,7.7,2.7,5.36,19-35,Male,685655,81.03,4.02,5.18,Medication,38574.0,No,76.25,889,3.6,40148.0,0.79,55.94
China,2024,Hypertension,,1.86,13.32,0.96,0-18,Male,563944,77.73,1.19,5.28,Medication,604.0,No,67.55,2960,6.81,30433.0,0.44,40.06
China,2020,Rabies,Chronic,12.68,0.99,0.6,61+,Female,624220,54.11,0.54,5.23,Medication,19128.0,Yes,56.78,458,3.4,99159.0,0.71,56.77
China,2020,Diabetes,Chronic,,5.17,2.17,61+,Male,216615,54.93,0.81,3.17,Therapy,44599.0,No,97.59,543,4.34,57211.0,0.45,
Argentina,2024,Hepatitis,Infectious,6.76,2.76,6.32,19-35,Other,487217,61.93,2.08,4.87,Vaccination,24003.0,Yes,93.41,3,3.18,75340.0,0.47,69.36
Nigeria,2021,Influenza,Autoimmune,8.92,11.62,,61+,Male,167272,69.67,3.87,1.21,Medication,18067.0,No,67.28,2589,4.24,30996.0,0.73,21.83
South Africa,2020,Diabetes,Cardiovascular,11.2,4.83,8.59,19-35,Other,43013,84.34,1.37,7.47,Vaccination,21370.0,Yes,65.77,4608,8.41,56903.0,0.71,54.18
UK,2022,COVID-19,Metabolic,17.71,12.41,6.03,61+,Male,137511,69.27,4.98,9.45,Surgery,47683.0,,93.7,671,6.0,78954.0,0.8,24.71
Nigeria,2020,Cancer,Viral,6.67,11.64,8.89,19-35,Female,779266,58.09,3.05,9.68,Vaccination,38399.0,Yes,63.88,3791,9.21,6160.0,0.75,67.83
China,2021,Polio,Respiratory,16.17,8.73,3.83,0-18,Other,645369,57.54,4.98,9.62,Surgery,27433.0,Yes,82.74,308,0.19,83199.0,0.76,66.03
India,2024,Ebola,Bacterial,1.28,12.15,9.0,19-35,Female,817969,56.94,4.07,8.06,Medication,40648.0,No,72.32,2,7.86,52287.0,0.82,64.01
India,2024,COVID-19,Viral,18.29,6.74,5.01,61+,Female,34335,78.44,2.69,7.07,Medication,44883.0,Yes,64.57,2254,7.57,94397.0,0.57,80.4
Nigeria,2024,Rabies,Cardiovascular,11.48,8.28,,19-35,Male,202047,69.89,3.65,8.5,Medication,2006.0,Yes,89.49,1432,7.87,40110.0,0.51,57.84
USA,2024,Polio,Autoimmune,3.45,2.77,5.84,61+,Female,197024,86.03,4.15,5.74,Vaccination,16104.0,Yes,57.82,4004,6.38,66669.0,0.82,34.37
South Africa,2023,HIV/AIDS,Parasitic,19.13,4.33,3.11,19-35,Male,762534,68.95,1.27,5.44,Vaccination,17613.0,Yes,73.9,508,0.04,85770.0,0.65,51.55
China,2021,Measles,Neurological,17.63,11.06,3.9,19-35,Other,852484,78.74,4.74,3.58,Vaccination,21941.0,Yes,86.19,2230,2.92,82403.0,0.42,51.62
India,2021,Influenza,Infectious,13.41,4.04,3.61,61+,Male,788534,66.69,3.01,7.31,Therapy,25691.0,No,53.81,468,9.75,29431.0,0.47,55.81
India,2022,Alzheimer's Disease,Respiratory,0.12,8.21,7.25,19-35,Male,555637,61.52,1.01,7.78,Surgery,48542.0,Yes,55.56,803,3.74,8897.0,0.72,57.85
South Africa,2023,Parkinson's Disease,Bacterial,,5.33,1.37,0-18,Female,584949,68.89,3.27,8.99,Medication,,No,98.64,3287,4.17,60349.0,0.69,80.88
Argentina,2023,Parkinson's Disease,Bacterial,15.34,13.3,5.28,19-35,Male,711581,77.37,3.12,8.32,Vaccination,1414.0,No,51.32,3591,0.5,78069.0,0.9,80.37
UK,2022,Rabies,Autoimmune,12.75,11.63,3.22,61+,Other,872549,80.71,2.43,5.06,Medication,1567.0,Yes,84.49,4561,0.14,93282.0,0.64,20.01
Nigeria,2021,Alzheimer's Disease,Genetic,15.26,4.31,3.51,61+,Female,135436,51.72,1.83,7.7,Vaccination,18314.0,No,53.49,1919,6.14,86473.0,0.8,52.58
India,2023,Influenza,Metabolic,8.38,12.7,0.66,19-35,Other,73249,86.3,3.07,0.97,Vaccination,33972.0,Yes,62.51,156,0.78,31235.0,0.57,88.25
India,2024,Hepatitis,Viral,5.98,2.9,1.27,19-35,Other,141437,87.81,2.6,0.74,Therapy,30462.0,Yes,86.53,1128,6.25,53071.0,0.52,44.74
Argentina,2021,Alzheimer's Disease,Autoimmune,12.82,9.16,5.16,0-18,Female,592529,80.03,2.54,4.79,Vaccination,30445.0,Yes,69.99,2738,7.47,45331.0,0.87,87.76
UK,2024,Asthma,Respiratory,10.77,14.92,1.85,0-18,Other,748354,77.53,4.36,5.09,Therapy,35044.0,Yes,91.05,4787,3.14,61264.0,0.01,78.13
UK,2022,Rabies,Cardiovascular,12.59,1.94,7.2,0-18,Female,849833,98.5,1.32,2.17,Vaccination,5937.0,Yes,56.71,4234,2.74,60257.0,0.64,54.93
Russia,2022,Hypertension,Genetic,0.5,1.78,8.01,36-60,Other,66338,61.34,1.14,1.98,Surgery,42996.0,No,93.47,3680,6.42,47894.0,0.47,20.37
USA,2021,Hypertension,Bacterial,7.01,,3.97,36-60,Female,918799,78.13,4.39,9.13,Vaccination,10082.0,Yes,53.53,196,1.55,58579.0,0.56,20.52
India,2024,HIV/AIDS,Neurological,14.58,2.65,2.46,0-18,Male,973116,51.88,1.29,9.61,Therapy,15125.0,Yes,67.34,4158,8.91,91692.0,0.86,71.2
China,2020,Tuberculosis,Genetic,8.89,9.96,7.16,0-18,Female,656659,59.86,4.98,3.05,Medication,11402.0,Yes,86.16,1212,7.43,48725.0,0.87,50.92
China,2020,Ebola,Viral,9.23,3.37,1.21,0-18,Male,609037,56.58,3.72,5.65,Medication,47666.0,No,75.78,39,5.58,98642.0,0.5,84.56
China,2022,Ebola,Genetic,,10.25,5.1,19-35,Female,132078,51.84,1.19,4.23,Surgery,,No,82.18,4974,6.35,26516.0,0.41,41.12
UK,2023,HIV/AIDS,Infectious,2.59,8.73,5.46,0-18,Other,713565,71.84,0.73,7.88,Therapy,34130.0,Yes,87.46,2284,7.53,57059.0,0.71,21.13
South Africa,2022,Zika,Respiratory,2.87,9.09,6.21,0-18,Other,501153,83.32,4.36,9.88,Vaccination,41958.0,Yes,59.59,3168,5.06,18201.0,0.7,80.97
USA,2020,Alzheimer's Disease,Infectious,6.76,13.68,2.25,36-60,Male,660347,51.27,4.71,2.93,Therapy,41170.0,No,97.91,225,0.23,12457.0,0.46,50.23
China,2024,Rabies,Metabolic,1.03,1.91,6.91,0-18,Female,335078,80.45,3.73,9.97,Medication,18768.0,Yes,63.2,4777,1.99,22891.0,0.88,45.08
India,2020,Influenza,Infectious,10.14,7.08,2.42,61+,Male,293378,91.97,1.61,4.74,Medication,5577.0,No,67.33,847,2.0,13300.0,0.62,89.28
South Africa,2023,Hepatitis,Parasitic,17.43,6.0,2.28,61+,Other,52212,56.49,4.14,1.24,Surgery,32113.0,No,79.07,26,6.14,79152.0,0.49,60.41
South Africa,2024,Leprosy,Autoimmune,13.23,10.1,3.83,0-18,Female,188576,78.68,2.47,3.6,Surgery,26431.0,Yes,79.54,2798,4.8,41165.0,0.57,22.78
India,2022,Hepatitis,Viral,19.96,4.97,4.0,61+,Female,510715,99.13,1.86,1.48,Therapy,24386.0,Yes,62.39,3062,0.16,13172.0,0.87,68.76
India,2022,Rabies,Viral,13.25,10.73,1.51,19-35,Other,816669,96.22,4.34,9.97,Therapy,14370.0,No,56.53,4258,7.12,36392.0,0.89,34.95
UK,2023,Dengue,Parasitic,7.46,5.47,5.2,19-35,Other,815477,54.32,4.26,1.97,Vaccination,31328.0,No,84.67,444,2.71,36639.0,0.55,54.92
USA,2020,Leprosy,Cardiovascular,1.55,5.35,0.78,61+,Male,623476,63.2,0.6,5.93,Vaccination,28851.0,Yes,81.94,1851,4.59,75517.0,0.85,54.16
UK,2022,HIV/AIDS,Cardiovascular,9.23,0.58,3.9,19-35,Male,649127,51.8,3.26,5.61,Surgery,,Yes,98.33,1447,1.4,89309.0,0.81,39.98
South Africa,2023,Malaria,Bacterial,14.85,10.12,7.15,0-18,Male,636847,82.68,4.15,3.67,Vaccination,31903.0,Yes,89.6,2488,5.8,40591.0,0.56,27.39
Nigeria,2024,Hypertension,Genetic,11.95,11.5,7.12,36-60,Other,984822,80.05,0.77,3.55,Vaccination,22486.0,Yes,77.23,4999,0.52,86457.0,0.66,74.89
Nigeria,2021,Influenza,Chronic,11.99,3.55,7.38,61+,Other,702907,96.98,1.54,7.16,Vaccination,41990.0,Yes,96.05,4854,0.8,77368.0,0.89,84.17
China,2021,Measles,Infectious,5.06,10.62,,61+,Female,388582,52.51,0.98,9.49,Surgery,8566.0,No,73.7,4989,1.9,81126.0,0.54,39.92
UK,2024,Influenza,Bacterial,5.97,6.43,6.94,0-18,Other,171414,87.09,2.19,6.12,Surgery,46331.0,Yes,94.03,3258,4.61,88195.0,0.49,78.52
Nigeria,2024,COVID-19,Chronic,13.66,6.77,4.68,0-18,Other,947783,51.67,1.26,4.24,Surgery,30771.0,No,92.57,1003,6.14,70566.0,0.8,78.78
Nigeria,2021,Polio,,2.01,11.32,8.55,61+,,815525,96.44,4.26,2.5,Vaccination,36298.0,No,54.5,4818,4.5,69622.0,0.89,73.33
Nigeria,2024,Cancer,Autoimmune,19.67,6.22,4.15,36-60,Female,97485,99.12,1.79,5.19,Therapy,26853.0,No,60.01,2967,6.57,62620.0,0.86,83.93
Argentina,2023,COVID-19,Viral,11.36,12.88,1.84,36-60,Other,988930,,0.94,0.88,Surgery,26925.0,No,59.95,4037,6.39,20642.0,0.55,29.02
UK,2022,Parkinson's Disease,Chronic,15.8,14.13,3.57,61+,Male,356156,51.27,0.59,4.55,Surgery,25386.0,Yes,71.53,777,9.5,53520.0,0.8,50.06
Russia,2023,Hypertension,Chronic,6.85,8.64,7.51,19-35,Other,308387,66.07,2.07,9.89,Vaccination,25572.0,Yes,72.28,1578,2.51,6588.0,0.8,73.86
India,2021,Cholera,Cardiovascular,6.82,2.8,6.31,36-60,Male,38302,69.73,3.88,4.66,Medication,2039.0,Yes,65.6,521,1.63,89603.0,0.48,32.75
UK,2023,Alzheimer's Disease,Genetic,,12.42,8.37,19-35,Other,108292,82.33,0.78,6.25,Medication,21148.0,No,95.07,4333,8.3,79581.0,0.72,52.27
USA,2022,Influenza,Autoimmune,14.72,8.56,2.36,36-60,Other,749032,94.55,4.24,3.08,Medication,28820.0,Yes,93.21,2958,4.6,76885.0,0.67,65.76
Argentina,2024,Measles,Autoimmune,9.67,5.88,5.68,36-60,Male,957198,66.95,2.48,6.8,Surgery,11787.0,No,55.79,1147,2.66,15174.0,0.76,29.37
India,2024,Asthma,Parasitic,2.13,5.79,9.64,0-18,Other,448938,56.26,2.78,7.82,Medication,38120.0,Yes,89.5,3641,9.08,79374.0,0.79,56.31
USA,2021,Diabetes,Neurological,6.31,6.21,3.96,36-60,Male,905646,61.43,0.92,2.33,Medication,18227.0,No,51.29,2417,6.95,44383.0,0.42,43.9
India,2024,Hepatitis,Metabolic,1.25,7.67,3.68,0-18,Female,106933,51.66,2.04,5.22,Therapy,25424.0,No,57.56,368,4.4,50678.0,0.4,57.52
UK,2024,COVID-19,Metabolic,1.44,6.6,2.46,36-60,Female,98590,50.44,0.78,7.48,Therapy,4312.0,Yes,52.15,4865,7.84,98362.0,0.68,40.21
South Africa,2023,Parkinson's Disease,Viral,13.87,5.06,5.78,61+,Other,244592,61.0,4.1,9.99,Surgery,18469.0,Yes,81.27,1119,1.02,27999.0,0.45,24.44
Argentina,2020,Alzheimer's Disease,Viral,3.4,9.22,2.36,0-18,Male,335209,60.41,3.17,9.82,Therapy,34084.0,No,54.06,3702,3.5,79932.0,0.53,81.56
UK,2020,Influenza,Neurological,17.64,10.53,1.92,19-35,Male,301543,66.29,3.43,9.13,Medication,43379.0,Yes,83.38,503,7.72,11122.0,0.84,31.38
USA,2024,Malaria,Chronic,19.61,5.62,4.65,0-18,Female,951242,66.13,4.1,5.95,Medication,6422.0,No,71.13,3861,0.92,95319.0,0.69,35.29
USA,2020,Diabetes,Metabolic,13.23,1.41,9.79,19-35,Other,559151,99.02,2.14,2.37,Vaccination,25759.0,No,94.23,3189,6.63,52665.0,0.75,78.96
Russia,2021,Rabies,Metabolic,12.0,10.87,,36-60,Male,221262,98.52,2.28,6.62,Therapy,7105.0,Yes,77.52,2018,7.35,23643.0,0.44,74.68
UK,2021,Alzheimer's Disease,Chronic,19.33,8.16,2.0,61+,Male,4458,85.88,2.0,0.52,Therapy,25605.0,No,94.16,4808,6.7,68828.0,0.51,88.18
Argentina,2020,Malaria,Autoimmune,18.62,13.74,9.04,0-18,Female,975027,51.07,1.14,6.31,Medication,45002.0,Yes,61.96,2429,6.55,83913.0,0.85,72.58
China,2020,Alzheimer's Disease,Viral,19.24,0.86,2.32,36-60,Other,341633,61.13,3.62,8.33,Medication,36249.0,Yes,64.49,1821,3.5,63586.0,0.51,72.95
Argentina,2022,Measles,Viral,5.54,13.57,1.51,19-35,Other,746788,60.03,3.42,8.35,Therapy,32122.0,No,86.12,1411,5.89,12325.0,0.82,87.46
Argentina,2023,Influenza,Bacterial,19.6,14.62,6.84,61+,Male,507193,80.38,4.78,6.01,Surgery,15855.0,No,52.02,1771,5.63,57466.0,0.89,70.29
Russia,2021,Cholera,Bacterial,14.03,5.54,,0-18,Male,117467,73.29,4.37,9.33,Surgery,1840.0,Yes,68.99,1325,2.87,66709.0,0.55,71.75
Russia,2021,Cancer,Infectious,10.09,0.95,8.9,0-18,Male,808966,82.73,2.29,3.85,Surgery,10189.0,No,57.27,721,1.36,70664.0,0.66,88.35
Nigeria,2024,Diabetes,Parasitic,16.69,0.94,0.43,61+,Male,968257,89.15,3.98,1.96,Surgery,42723.0,Yes,52.51,1254,4.33,14373.0,0.41,43.82
